article_ix,doi,title,abstract,article_topic1,article_topic2,article_data_type
11,10.1017/S0003055414000409,"“Fit to Enter the World”: Hannah Arendt on Politics, Economics, and the Welfare State","What is the significance of the welfare state and struggles over social and economic needs for democratic politics? This article turns to Hannah Arendt's thought to articulate new possibilities for relating democratic agency and the welfare state, possibilities neglected by currently dominant deliberative and radical democratic approaches. Against critics who claim that Arendt seeks to purify politics of economic and social problems, I argue that she presents a sophisticated account of the vital importance of economic matters for public life. For Arendt, the danger is not the invasion of politics by economics, but rather the loss of the worldly, mediating institutions that allow economic matters to appear as objects of public concern. Reconstructing her account of these mediating institutions, I show that Arendt's analysis opens up novel insights into the relationship between democratic action and welfare institutions, drawing attention to how such institutions transform material necessity into shared objects of attachment, judgment, and action.",,,
12,10.1017/S0003055414000379,Issue Yield: A Model of Party Strategy in Multidimensional Space,"Parties in pluralist democracies face numerous contentious issues, but most models of electoral competition assume a simple, often one-dimensional structure. We develop a new, inherently multidimensional model of party strategy in which parties compete by emphasizing policy issues. Issue emphasis is informed by two distinct goals: mobilizing the party's core voters and broadening the support base. Accommodating these goals dissolves the position-valence dichotomy through a focus on policies that unite the party internally while also attracting support from the electorate at large. We define issue yield as the capacity of an issue to reconcile these criteria, and then operationalize it as a simple index. Results of multilevel regressions combining population survey data and party manifesto scores from the 2009 European Election Study demonstrate that issue yield governs party strategy across different political contexts.",,,
13,10.1017/S0003055414000483,The Politics of Precedent in International Law: A Social Network Application—ERRATUM,,,,
14,10.1017/S0003055414000574,"APSR EXTERNAL REVIEWERS, 2013–2014","The American Political Science Review peer review process relies on the professionalism and generosity of those who contribute their time to read and evaluate the work of others. The Co-editors thank these scholars for serving as manuscript reviewers between September 1, 2012, and August 31, 2013.",,,
15,10.1017/S0003055414000586,INDEX TO VOLUME 108,,,,
16,10.1017/S0003055414000343,Notes from the Editors,"In this issue we start with three articles that focus on women and politics. Although we do not publish special issues (and what appears in each issue really depends on the manuscripts we receive), we are very fortunate to be able to publish together three articles that address different aspects of women and politics. These pieces approach the topic from different epistemological angles, and represent different subfields in the discipline. We are very pleased to be able to highlight, collectively, as our “lead articles” the first three pieces in this issue.",,,
17,10.1017/S000305541400029X,When Canvassers Became Activists: Antislavery Petitioning and the Political Mobilization of American Women,"Examining an original dataset of more than 8,500 antislavery petitions sent to Congress (1833–1845), we argue that American women's petition canvassing conferred skills and contacts that empowered their later activism. We find that women canvassers gathered 50% or more signatures (absolute and per capita) than men while circulating the same petition requests in the same locales. Supplementary evidence (mainly qualitative) points to women's persuasive capacity and network building as the most plausible mechanisms for this increased efficacy. We then present evidence that leaders in the women's rights and reform campaigns of the nineteenth century were previously active in antislavery canvassing. Pivotal signers of the Seneca Falls Declaration were antislavery petition canvassers, and in an independent sample of post–Civil War activists, women were four times more likely than men to have served as identifiable antislavery canvassers. For American women, petition canvassing—with its patterns of persuasion and networking—shaped legacies in political argument, network formation, and organizing.",,,
18,10.1017/S0003055414000227,Uncovering the Origins of the Gender Gap in Political Ambition,"Based on survey responses from a national random sample of nearly 4,000 high school and college students, we uncover a dramatic gender gap in political ambition. This finding serves as striking evidence that the gap is present well before women and men enter the professions from which most candidates emerge. We then use political socialization—which we gauge through a myriad of socializing agents and early life experiences—as a lens through which to explain the individual-level differences we uncover. Our analysis reveals that parental encouragement, politicized educational and peer experiences, participation in competitive activities, and a sense of self-confidence propel young people's interest in running for office. But on each of these dimensions, women, particularly once they are in college, are at a disadvantage. By identifying when and why gender differences in interest in running for office materialize, we begin to uncover the origins of the gender gap in political ambition. Taken together, our results suggest that concerns about substantive and symbolic representation will likely persist.",,,
19,10.1017/S0003055414000239,Quotas for Men: Reframing Gender Quotas as a Means of Improving Representation for All,"Gender quotas traditionally focus on the underrepresentation of women. Conceiving of quotas in this way perpetuates the status of men as the norm and women as the “other.” Women are subject to heavy scrutiny of their qualifications and competence, whereas men's credentials go unchallenged. This article calls for a normative shift in the problem of overrepresentation, arguing that the quality of representation is negatively affected by having too large a group drawn from too narrow a talent pool. Curbing overrepresentation through ceiling quotas for men offers three core benefits. First, it promotes meritocracy by ensuring the proper scrutiny of politicians of both sexes. Second, it provides an impetus for improving the criteria used to select and evaluate politicians. Third, neutralizing the overly masculinized environment within parliaments might facilitate better substantive and symbolic representation of both men and women. All citizens would benefit from these measures to increase the quality of representation.",,,
20,10.1017/S0003055414000215,The Illustrative Education of Rousseau's Emile,"Rousseau's mission as an author was to make his readers see what he saw in his philosophical “illumination,” yet his task is a paradoxical one, for he must persuade his readers that they are deceived by what they see before their own eyes and must learn to see anew. In order to transform the perspective of his reader, Rousseau throughout his works uses visual imagery and rhetorical devices invoking vision that represents both the correct view of human nature and virtue and the obstacles to learning to see ourselves properly. As a former engraver's apprentice, he was particularly interested in educating his reader through actual images such as frontispieces or illustrations. The aim of this article is to offer an interpretation of the engravings that illustrate Emile, or On Education, in order to investigate how Rousseau educates his reader through challenging the reader's preconceptions concerning human nature and replacing traditional exemplars of human nature and virtue with a new exemplar seen in his imaginary pupil.",,,
21,10.1017/S0003055414000276,The Politics of Precedent in International Law: A Social Network Application,"The concept of precedent is fundamental to domestic courts, especially in Anglo-American common law systems, where judges are bound to the court’s past decisions. By contrast, precedent has no formal authority in international law. Legal scholars point to Article 59 of the International Court of Justice (ICJ) Statute in this respect, according to which international legal rulings are binding only on the parties in the dispute at hand, and have no bearing on matters outside of the case.",,,
22,10.1017/S0003055414000264,"Is Voter Competence Good for Voters?: Information, Rationality, and Democratic Performance","A long research tradition in behavioral political science evaluates the performance of democracy by examining voter competence. This literature got its start arguing that voters' lack of information undermines a defense of democracy rooted in electoral accountability. A more recent literature deepens the debate, with some authors claiming that voters effectively use cues to substitute for information about candidates and policies, and other authors claiming that voters are insufficiently rational to do so. We argue that, regardless of its conclusions about voter competence, this literature’s single-minded focus on voter behavior is misguided. We use a sequence of formal models to show that traditional intuitions are incomplete because they ignore the effect that changes in voter behavior have on the equilibrium behavior of politicians. When this strategic interaction is taken into account, increases in voter information or voter rationality sometimes make democratic performance better and sometimes make democratic performance worse. One simply cannot assess the implications of voter characteristics for democratic performance without also studying how those characteristics affect the behavior of politicians.",,,
23,10.1017/S0003055414000288,Terrorism and Voting: The Effect of Rocket Threat on Voting in Israeli Elections,"How does the threat of becoming a victim of terrorism affect voting behavior? Localities in southern Israel have been exposed to rocket attacks from the Gaza Strip since 2001. Relying on variation across time and space in the range of rockets, we identify the effect of this threat on voting in Israeli elections. We first show that the evolution of the rockets’ range leads to exogenous variation in the threat of terrorism. We then compare voting in national elections within and outside the rockets’ range. Our results suggest that the right-wing vote share is 2 to 6 percentage points higher in localities that are within the range—a substantively significant effect. Unlike previous studies that explore the role of actual exposure to terrorism on political preferences and behavior, we show that the mere threat of an attack affects voting.",,,
24,10.1017/S0003055414000318,Representation in Municipal Government,"Municipal governments play a vital role in American democracy, as well as in governments around the world. Despite this, little is known about the degree to which cities are responsive to the views of their citizens. In the past, the unavailability of data on the policy preferences of citizens at the municipal level has limited scholars’ ability to study the responsiveness of municipal government. We overcome this problem by using recent advances in opinion estimation to measure the mean policy conservatism in every U.S. city and town with a population above 20,000 people. Despite the supposition in the literature that municipal politics are non-ideological, we find that the policies enacted by cities across a range of policy areas correspond with the liberal-conservative positions of their citizens on national policy issues. In addition, we consider the influence of institutions, such as the presence of an elected mayor, the popular initiative, partisan elections, term limits, and at-large elections. Our results show that these institutions have little consistent impact on policy responsiveness in municipal government. These results demonstrate a robust role for citizen policy preferences in determining municipal policy outcomes, but cast doubt on the hypothesis that simple institutional reforms enhance responsiveness in municipal governments.",,,
25,10.1017/S0003055414000240,Political Devolution and Resistance to Foreign Rule: A Natural Experiment,"Do foreign occupiers face less resistance when they increase the level of native governing authority? Although this is a central question within the literature on foreign occupation and insurgency, it is difficult to answer because the relationship between resistance and political devolution is typically endogenous. To address this issue, we identify a natural experiment based on the locally arbitrary assignment of French municipalities into German or Vichy-governed zones during World War II. Using a regression discontinuity design, we conclude that devolving governing authority significantly lowered levels of resistance. We argue that this effect is driven by a process of political cooptation: domestic groups that were granted governing authority were less likely to engage in resistance activity, while violent resistance was heightened in regions dominated by groups excluded from the governing regime. This finding stands in contrast to work that primarily emphasizes structural factors or nationalist motivations for resistance.",,,
26,10.1017/S0003055414000306,An Empirical Evaluation of Explanations for State Repression,"The empirical literature that examines cross-national patterns of state repression seeks to discover a set of political, economic, and social conditions that are consistently associated with government violations of human rights. Null hypothesis significance testing is the most common way of examining the relationship between repression and concepts of interest, but we argue that it is inadequate for this goal, and has produced potentially misleading results. To remedy this deficiency in the literature we use cross-validation and random forests to determine the predictive power of measures of concepts the literature identifies as important causes of repression. We find that few of these measures are able to substantially improve the predictive power of statistical models of repression. Further, the most studied concept in the literature, democratic political institutions, predicts certain kinds of repression much more accurately than others. We argue that this is due to conceptual and operational overlap between democracy and certain kinds of state repression. Finally, we argue that the impressive performance of certain features of domestic legal systems, as well as some economic and demographic factors, justifies a stronger focus on these concepts in future studies of repression.",,,
27,10.1017/S0003055414000331,“I wld like u WMP to extend electricity 2 our village”: On Information Technology and Interest Articulation,"How does access to information communication technology (ICT) affect who gets heard and what gets communicated to politicians? On the one hand, ICT can lower communication costs for poorer constituents; on the other, technological channels may be used disproportionately more by the already well connected. To assess the flattening effects of ICTs, we presented a representative sample of constituents in Uganda with an opportunity to send a text message to their representatives at one of three randomly assigned prices. Critically, and contrary to concerns that technological innovations benefit the privileged, we find evidence that ICT can lead to significant flattening: a greater share of marginalized populations use this channel compared to existing political communication channels. Price plays a more complex role. Subsidizing the full cost of messaging increases uptake by over 40%. Surprisingly however, subsidy-induced increases in uptake do not yield further flattening since free channels are not used at higher rates by more marginalized constituents.",,,
28,10.1017/S0003055414000252,Show Me the Money: Interjurisdiction Political Competition and Fiscal Extraction in China,"We argue that interjurisdiction competition in authoritarian regimes engenders a specific logic for taxation. Promotion-seeking local officials are incentivized to signal loyalty and competence to their principals through tangible fiscal revenues. The greater the number of officials accountable to the same principal, the more intense political competition is, resulting in higher taxation; however, too many officials accountable to the same principal leads to lower taxation due to shirking by uncompetitive officials and the fear of political instability. Using a panel dataset of all Chinese county-level jurisdictions from 1999–2006, we find strong evidence for an inverse U-shaped relationship between the number of county-level jurisdictions within a prefecture—our proxy for the intensity of political competition—and fiscal revenues in most provinces but not so in politically unstable ethnic minority regions. The results are robust to various alternative specifications, including models that account for heterogeneous county characteristics and spatial interdependence.",,,
29,10.1017/S0003055414000185,Notes from the Editors,"We introduce this issue with a thought. There has been much made of the need for our discipline to be “policy relevant,” and much ridicule has been directed at the Review recently that comments how little the Review offers that is relevant for decision makers. But what does it mean to be policy relevant? Generally, scholarly journals publish the best in basic research, which hopefully can be used by those in positions of authority to good effect. This often means that there are no catchy titles, nor opinion-editorial pieces that are so often portrayed as the model of policy relevant work. In our view, the role of the Review is to expand knowledge on important scholarly questions, not only to publish work that is currently popular or somehow ordained as useful by pundits. There is certainly a place for such work, but not in the pages of the Review. On the other hand, we as the editors of the Review understand the need to make the Review accessible to as broad an audience as possible, and we have made great efforts to do just that.",,,
30,10.1017/S0003055414000112,The Returns to Office in a “Rubber Stamp” Parliament,"Are there returns to office in an authoritarian parliament? A new dataset shows that over 500 deputies to China’s National People’s Congress are CEOs of various companies. Entropy balancing is used to construct a weighted portfolio of Chinese companies that matches companies with NPC representation on relevant financial characteristics prior to the 11th Congress (2008–2012). The weighted fixed effect analysis suggests that a seat in the NPC is worth an additional 1.5 percentage points in returns and a 3 to 4 percentage point boost in operating profit margin in a given year. Additional evidence reveals that these rents stem primarily from the “reputation boost” of the position, and not necessarily formal policy influence. These findings confirm the assumptions of several prominent theories of authoritarian politics but suggest the need to further probe the nature of these institutions.",,,
31,10.1017/S0003055414000094,Rethinking Care Ethics: On the Promise and Potential of an Intersectional Analysis,"This article contributes to current debates and discussions in critical social theory about diversity, inclusion/exclusion, power, and social justice by exploring intersectionality as an important theoretical resource to further develop and advance care ethics. Using intersectionality as a critical reference point, the investigation highlights two key shortcomings of care ethics which stem from this ethics’ prioritization of gender and gendered power relations: inadequate conceptualizations of diversity and power. The article draws on concrete examples related to migrant domestic work to illustrate how an intersectionality lens can advance new theoretical insights for understanding caring practices (or lack of them), and generate new methodological and practical strategies for confronting and transforming the deeply entrenched interlocking power inequities that undermine the realization of care in an increasingly complex context of national and international policy and politics.",,,
32,10.1017/S0003055414000148,"Partisanship, Structure, and Representation: The Puzzle of African American Education Politics","The 1982 amendments to the Voting Rights Act targeted electoral structures as significant determinants of minority representation. The research regarding electoral structures and representation of constituents, however, has produced conflicting results, and the continued application of some of the provisions set forth in the Voting Rights Act is in doubt. This article addresses the impact of at-large elections on African American representation and reveals a striking and unanticipated finding: African Americans are now overrepresented on school boards that have at-large elections when African Americans are a minority of the population. Using the 1,800 largest school districts in the United States (based on original surveys conducted in 2001, 2004, and 2008), we find that partisanship changes the relationship between electoral structures and race to benefit African American representation.",,,
33,10.1017/S0003055414000136,Voting Equilibria Under Proportional Representation,"This article studies the consequences of strategic voting by outcome-oriented voters in elections under proportional representation (PR). I develop a model of elections under PR, in which voters choose among an arbitrary finite number of parties, and the policy outcome is determined in a postelection bargaining stage. I use a new solution concept, robust equilibrium, which greatly mitigates the well-known problem of indeterminate predictions in multicandidate competition. Applying the equilibrium concept to the model, I find that PR promotes representation of small parties in general, even when voters are strategic. However, the median voter plays a critical role in shaping policy outcomes, which reflects the majoritarian nature of parliamentary policy making rules. Thus, PR may not be incompatible with the majoritarian vision of representative democracy if voters’ main concern is policy outcomes.",,,
34,10.1017/S0003055414000070,Respect for Human Rights has Improved Over Time: Modeling the Changing Standard of Accountability,"According to indicators of political repression currently used by scholars, human rights practices have not improved over the past 35 years, despite the spread of human rights norms, better monitoring, and the increasing prevalence of electoral democracy. I argue that this empirical pattern is not an indication of stagnating human rights practices. Instead, it reflects a systematic change in the way monitors, like Amnesty International and the U.S. State Department, encounter and interpret information about abuses. The standard of accountability used to assess state behaviors becomes more stringent as monitors look harder for abuse, look in more places for abuse, and classify more acts as abuse. In this article, I present a new, theoretically informed measurement model, which generates unbiased estimates of repression using existing data. I then show that respect for human rights has improved over time and that the relationship between human rights respect and ratification of the UN Convention Against Torture is positive, which contradicts findings from existing research.",,,
35,10.1017/S0003055414000161,The Legacy of Historical Conflict: Evidence from Africa,"This article exploits variation between and within countries to examine the legacy of recorded conflicts in Africa in the precolonial period between 1400 and 1700. There are three main findings. First, we show that historical conflict is correlated with a greater prevalence of postcolonial conflict. Second, historical conflict is correlated with lower levels of trust, a stronger sense of ethnic identity, and a weaker sense of national identity across countries. Third, historical conflict is negatively correlated with subsequent patterns of development looking at the pattern across grid cells within countries.",,,
36,10.1017/S0003055414000173,Was Weber Right? The Role of Urban Autonomy in Europe's Rise,"Do strong property rights institutions always help, or might they sometimes actually hinder development? Since Max Weber and before, scholars have claimed that the presence of politically autonomous cities, controlled by merchant oligarchies guaranteeing property rights, helped lead to Europe's rise. Yet others suggest that autonomous cities were a hindrance to growth because rule by merchant guilds resulted in restrictions that stifled innovation and trade. I present new evidence and a new interpretation that reconcile the two views of city autonomy. I show that politically autonomous cities initially had higher population growth rates than nonautonomous cities, but over time this situation reversed itself. My evidence also suggests why autonomous cities eventually disappeared as a form of political organization. Instead of military weakness, it may have been their political institutions that condemned them to become obsolete.",,,
37,10.1017/S0003055414000100,"Law, Focal Points, and Fiscal Discipline in the United States and the European Union","Many studies suggest that strict balanced budget rules can restrain sovereign debt and lower sovereign borrowing costs, even if those rules are never enforced in court. Why might public officials adhere to a rule that is practically never enforced in court? Existing literature points to a legal deterrence logic in which the threat of judicial enforcement deters sovereigns from violating the rules in the first place. By contrast, we argue that balanced budget rules work by coordinating decentralized punishment of sovereigns by bond markets, rather than by posing a credible threat of judicial enforcement. Therefore, the clarity of the focal point provided by the rule, rather than the strength of its judicial enforcement mechanisms, determines its effectiveness. We develop a formal model that captures the logic of our argument, and we assess this model using data on U.S. states. We then consider implications of our argument for the impact of the balanced budget rules recently imposed on eurozone states in the Fiscal Compact Treaty.",,,
38,10.1017/S0003055414000057,The “Wisdom of the State”: Adam Smith on China and Tartary,"Adam Smith's engagement with China and Tartary is a central yet underappreciated element of his economic and political thought. This article reconstructs this engagement and demonstrates its broader significance, arguing that it focuses on three themes: the economic institutions that promote domestic growth in a manner that alleviates the material conditions of the poorest, the social and political conditions that minimize the dependence of the poor on the wealthy, and the ethical values and civic institutions that guarantee the existential survival of the state. This treatment is significant for three reasons: It offers useful insight into the contested issue of Smith's conception of legitimate state action; it clarifies Smith's vision of a commercial order that promotes human dignity; and it reveals the depth of his participation in a specific contextual debate.",,,
39,10.1017/S0003055414000045,The Political Economy of Ownership: Housing Markets and the Welfare State,"The major economic story of the last decade has been the surge and collapse of house prices worldwide. Yet political economists have had little to say about how this critical phenomenon affects citizens’ welfare and their demands from government. This article develops a novel theoretical argument linking housing prices to social policy preferences and policy outcomes. I argue that homeowners experiencing house price appreciation will become less supportive of redistribution and social insurance policies since increased house prices both increase individuals’ permanent income and the value of housing as self-supplied insurance against income loss. Political parties of the right will, responding to these preferences, cut social spending substantially during housing booms. I test these propositions using both microdata on social preferences from panel surveys in the USA, the UK, and a cross-country survey of 29 countries, and macrodata of national social spending for 18 countries between 1975 and 2001.",,,
40,10.1017/S0003055414000033,Can Descriptive Representation Change Beliefs about a Stigmatized Group? Evidence from Rural India,"Can descriptive representation for a stigmatized group change the beliefs and intentions of members of dominant groups? To address this question, I focus on quotas (reservations) that allow members of the scheduled castes to access key executive positions in India's village institutions. To measure the psychological effect of reservations, I combine a natural experiment with an innovative MP3-player-based self-administered survey that measures various beliefs and behavioral intentions. Results provide credible causal evidence that reservations affect the psychology of members of dominant castes. Even though villagers living in reserved villages continue to think poorly of members of the scheduled castes (stereotypes do not improve), reservation affects two other types of beliefs: perceived social norms of interactions and perceived legal norms of interactions. These changes in beliefs in turn appear to have far-reaching consequences for intercaste relations, as villagers’ discriminatory intentions also decrease under reservation.",,,
41,10.1017/S0003055414000124,Social Policy and Regime Legitimacy: The Effects of Education Reform in China,"Elites often use social policies to garner political support and ensure regime survival, but social policies are not a silver bullet. Using two waves of Chinese national surveys, I find that a recent policy of abolishing school fees has significantly increased citizens’ demand for greater government responsibility in financing compulsory education. I argue that policy awareness, rather than policy benefits, drives citizens’ demand. Finally, I show that policy awareness has enhanced citizens’ trust in China's central government, but not in local governments. This asymmetry in regime support has two sources—the decentralization of education provision and biased media reporting—which induce citizens to credit the central government for good policy outcomes. Given that citizens’ responses are primarily influenced by policy awareness that is promoted by the state media, this study casts doubt on the use of social policies to sustain long-term political support.",,,
42,10.1017/S000305541400015X,Delivering Stability—Primogeniture and Autocratic Survival in European Monarchies 1000–1800,"Building a strong autocratic state requires stability in ruler-elite relations. From this perspective the absence of a successor is problematic, as the elite have few incentives to remain loyal if the autocrat cannot reward them for their loyalty after his death. However, an appointed successor has both the capacity and the motive to challenge the autocrat. We argue that a succession based on primogeniture solves the dilemma, by providing the regime with a successor who can afford to wait to inherit the throne peacefully. We test our hypothesis on a dataset covering 961 monarchs ruling 42 European states between 1000 and 1800, and show that fewer monarchs were deposed in states practicing primogeniture than in states practicing alternative succession orders. A similar pattern persists in the world's remaining absolute monarchies. Primogeniture also contributed to building strong states: In 1801 all European monarchies had adopted primogeniture or succumbed to foreign enemies.",,,
43,10.1017/S0003055414000069,Elite Parties and Poor Voters: Theory and Evidence from India,"Why do poor people often vote against their material interests? This article extends the study of this global paradox to the non-Western world by considering how it manifests within India, the world's biggest democracy. Arguments derived from studies of advanced democracies (such as values voting) or of poor polities (such as patronage and ethnic appeals) fail to explain this important phenomenon. Instead, I outline a novel strategy predicated on an electoral division of labor enabling elite parties to recruit the poor while retaining the rich. Recruitment is outsourced to nonparty affiliates that provide basic services to appeal to poor communities. Such outsourcing permits the party to maintain programmatic linkages to its elite core. Empirically, I test this argument with qualitative and quantitative evidence, including a survey of more than 9,000 voters. Theoretically, I argue that this approach is best suited to elite parties with thick organizations, typically those linked to religious social movements.",,,
44,10.1017/S0003055414000197,"The Perils of Unearned Foreign Income: Aid, Remittances, and Government Survival—CORRIGENDUM",,,,
45,10.1017/S0003055413000671,Notes from the Editors,"In this issue of the Review (108.1) we present a number of articles that illustrate the importance of cross disciplinary research in promoting innovations in the field. These include works that draw upon physical anthropology, theology, and genetics to add insights regarding political development, political ethics, and voting behavior. Further, consistent with our commitment to publish pieces that speak broadly to the field, in this issue there are a number of pieces that, although they appear to be focused on particular issues or countries, address themes that should have broad appeal to many different subfields in political science. In this way we hope to promote greater conversations across subfields, which we believe to be the basis for further innovation in our discipline.",,,
