article_ix,doi,title,abstract,article_topic1,article_topic2,article_data_type
11,10.1111/j.1540-5907.2006.00192.x,The “Race Card” Revisited: Assessing Racial Priming in Policy Contests,"In The Race Card (2001), Mendelberg finds support for her theory that implicit racial appeals, but not explicit ones, prime racial resentment in opinion formation. She argues that citizens reject explicit appeals, rendering them ineffective, because they violate widespread egalitarian norms. Mendelberg's innovative research, however, suffers from several limitations. We remedy these deficiencies using two randomized experiments with over 6,300 respondents. We confirm that individuals do tend to reject explicit appeals outright, but find that implicit appeals are no more effective than explicit ones in priming racial resentment in opinion formation. In accounting for the differences between previous research and our own, we show that education moderates both the accessibility of racial predispositions and message acceptance. This suggests that the necessary assumptions of Mendelberg's theory hold only for different and exclusive subsets of the general population.",,,
12,10.1111/j.1540-5907.2006.00193.x,Proposal Rights and Political Power,"In a canonical model of sequential collective bargaining over a divisible good we show that equilibrium expected payoffs are not restricted by players' voting rights or their impatience. For all monotonic voting rules and discount factors, and for all divisions of the good among players, there exists a stationary proposal-making rule such that this division represents players' expected payoffs in a Stationary Subgame Perfect Nash equilibrium in pure strategies. The result highlights the significance of proposal rights in determining political power in collective deliberations.",,,
13,10.1111/j.1540-5907.2006.00194.x,Economic Voting and Multilevel Governance: A Comparative Individual-Level Analysis,"An important component of incumbent support is the reward/punishment calculus of economic voting. Previous work has shown that “clarity of responsibility” within the central state government conditions national economic effects on incumbent vote choice: where clarity is high (low), economic effects are greater (less). This article advances the “clarity of responsibility” argument by considering the effect of multilevel governance on economic voting. In institutional contexts of multilevel governance, the process of correctly assigning responsibility for economic outcomes can be difficult. This article tests the proposition that multilevel governance mutes effects of national economic conditions by undermining responsibility linkages to the national government. Individual-level data from the Comparative Study of Electoral Systems Module 1 are used to test this proposition. Results demonstrate that economic voting is weakest in countries where multilevel governance is most prominent. Findings are discussed in light of the contribution to the economic voting literature and the potential implications of multilevel governance.",,,
14,10.1111/j.1540-5907.2006.00196.x,Changing Sides or Changing Minds? Party Identification and Policy Preferences in the American Electorate,"Scholars have long debated the individual-level relationship between partisanship and policy preferences. We argue that partisanship and issue attitudes cause changes in each other, but the pattern of influence varies systematically. Issue-based change in party identification should occur among individuals who are aware of party differences on an issue and find that issue to be salient. Individuals who are aware of party differences, but do not attach importance to the issue, should evidence party-based issue change. Those lacking awareness of party differences on an issue should show neither effect. We test our account by examining individuals' party identifications and their attitudes on abortion, government spending and provision of services, and government help for African Americans using the 1992-94-96 National Election Study panel study, finding strong support for our argument. We discuss the implications of our findings both for the microlevel study of party identification and the macrolevel analysis of partisan change.",,,
15,10.1111/j.1540-5907.2006.00197.x,Taking It to the Next Level: The Elevation of District Court Judges to the U.S. Courts of Appeals,"We address an important aspect of judicial careers: the elevation of judges from the U.S. District Courts to the Courts of Appeals. We argue that the likelihood of a judge being elevated is a function of informational cues and signals regarding the nature of the judge and the judge's compatibility with presidential preferences. We also expect norms involving the intersection between geography and Senate politics to affect a judge's elevation chances. Using data on district court judges appointed between 1946 and 1995, we find that the likelihood of a judge being elevated is a function of the judge's ideological compatibility with the president, the judge's previous ABA rating, and Senate norms involving state “ownership” of appeals court seats. Blunt indicators of policy preferences trump direct signals when presidents decide whom to elevate, leaving judges little control over their career prospects and thus less incentive to slant their decisions in the direction of the president's preferences.",,,
16,10.1111/j.1540-5907.2006.00198.x,Dimensions of Politics in the European Parliament,"We investigate the dimensionality of politics in the European Parliament by applying a scaling method to all roll-call votes between 1979 and 2001 in the European Parliament. Contrary to most existing studies using these methods, we are able to interpret the substantive content of the observed dimensions using exogenous measures of national party policy positions. We find that the main dimension of politics in the European Union's only elected institution is the classic left-right dimension found in domestic politics. A second dimension is also present, although to a lesser extent, which captures government-opposition conflicts as well as national and European party positions on European integration.",,,
17,10.1111/j.1540-5907.2006.00199.x,"Are Niche Parties Fundamentally Different from Mainstream Parties? The Causes and the Electoral Consequences of Western European Parties' Policy Shifts, 1976–1998","Do “niche” parties—such as Communist, Green, and extreme nationalist parties—adjust their policies in response to shifts in public opinion? Would such policy responsiveness enhance these parties' electoral support? We report the results of statistical analyses of the relationship between parties' policy positions, voters' policy preferences, and election outcomes in eight Western European democracies from 1976 to 1998 that suggest that the answer to both questions isno. Specifically, we find no evidence that niche parties responded to shifts in public opinion, while mainstream parties displayed consistent tendencies to respond to public opinion shifts. Furthermore, we find that in situations where niche parties moderated their policy positions they were systematically punished at the polls (a result consistent with the hypothesis that such parties represent extreme or noncentrist ideological clienteles), while mainstream parties did not pay similar electoral penalties. Our findings have important implications for political representation, for spatial models of elections, and for political parties' election strategies.",,,
18,10.1111/j.1540-5907.2006.00200.x,"Transparency, Political Polarization, and Political Budget Cycles in OECD Countries","We investigate the effects of fiscal transparency and political polarization on the prevalence of electoral cycles in fiscal balance. While some recent political economy literature on electoral cycles identifies such cycles mainly in weak and recent democracies, in contrast we show, conditioning on a new index of institutional fiscal transparency, that electoral cycles in fiscal balance are a feature of many advanced industrialized economies. Using a sample of 19 OECD countries in the 1990s, we identify a persistent pattern of electoral cycles in low(er) transparency countries, while no such cycles can be observed in high(er) transparency countries. Furthermore, we find, in accordance with recent theory, that electoral cycles are larger in politically more polarized countries.",,,
19,10.1111/j.1540-5907.2006.00201.x,Democratic Transitions,"Przeworski et al. (2000) challenge the key hypothesis in modernization theory: political regimes do not transition to democracy as per capita incomes rise, they argue. Rather, democratic transitions occur randomly, but once there, countries with higher levels of GDP per capita remain democratic. We retest the modernization hypothesis using new data, new techniques, and a three-way rather than dichotomous classification of regimes. Contrary to Przeworski et al. (2000) we find that the modernization hypothesis stands up well. We also find that partial democracies emerge as among the most important and least understood regime types.",,,
20,10.1111/j.1540-5907.2006.00202.x,Still Supermadres? Gender and the Policy Priorities of Latin American Legislators,"This article examines the effect of gender on legislators' attitudes and bill initiation behavior in three Latin American countries—Argentina, Colombia, and Costa Rica. I argue that sex role changes in Latin America over the past 35 years have led to changes in how female legislators perceive their political roles, and consequently, changes in their attitudes and behavior. Specifically, female legislators will place higher priority than male legislators on women's issues and children/family concerns, but their attitudes in other areas, such as education, health, the economy, agriculture, and employment, will be similar. However, I expect that gender dynamics in the legislative arena lead to marginalization of women such that gender differences will emerge for bill initiation behavior where they did not appear for attitudes. I test this using a survey of legislators' issue preferences and archival data on the bills that legislators sponsor and find statistical support for the hypotheses.",,,
21,10.1111/j.1540-5907.2006.00203.x,A Unified Theory and Test of Extended Immediate Deterrence,"We present a unified theory and test of extended immediate deterrence—unified in the sense that we employ our theoretical deterrence model as our statistical model in the empirical analysis. The theoretical model is a straightforward formalization of the deterrence logic in Huth (1988) and Huth and Russett (1984), coupled with private information concerning utilities. Our statistical analysis suggests that the attacker and defender's decisions are influenced by the balance of forces, nuclear weapons, defender-protege military alliances, arms transfers, and trade, as well as the regime types of those involved. Many of these findings contradict previous research by Huth (1988) and Huth and Russett (1988). We find that many of the variables involved in the deterrence calculus are nonmonotonically linked to the probability of deterrence success or war. We illustrate the results with case studies of the Soviet-Japanese dispute over Manchukuo (1937–1938) and the Berlin Blockade (1948).",,,
22,10.1111/j.1540-5907.2006.00204.x,"Authoritarian Attitudes, Democracy, and Policy Preferences among Latin American Elites","This article examines the prevalence and consequences of authoritarian attitudes among elites in Argentina, Brazil, Chile, Colombia, Mexico, and Venezuela. We focus on the connection between antidemocratic elite attitudes and support for democracy; the causes and effects of authoritarian attitudes among elites and their implications for authoritarianism; and the impact of authoritarian attitudes beyond social policy preferences to other policy areas that have indirect implications for order. Contrary to some of the literature, we find that antidemocratic attitudes affect elites' support for democracy. Our analysis also speaks to the debate on the origins of authoritarianism. Much of the evidence supports Altemeyer's notion that perceived threat raises levels of authoritarianism, rather than Feldman's contention that threat strengthens the influence of authoritarian attitudes. Finally, we demonstrate that there is a broader influence of authoritarian attitudes on economic policy preferences, but only where those policies appear to have implications for social order.",,,
23,10.1111/j.1540-5907.2006.00205.x,The Conscientious Sovereign: Public and Private Rule in Thomas Hobbes's Early Discourses,"In midcareer political treatises, Hobbes trades humanism for scientific method and minimizes distinctions between conquest and mutual covenant as grounds of sovereignty. From this, many conclude that arbitrary government is the goal, or the likeliest outcome of Hobbes's science of justice. Three early discourses, however, suggest that the perils of transition from the private rule of a conqueror to the public rule of a law-bound sovereign are of primary concern. Whether the change is taken as proof of the independent activity of natural law, or as solely attributable to the skills of exemplary sovereigns, it destabilizes any law-bound ruler who fails to reorient the passions motivating subjects to obey. Lasting stability and comfort can be achieved only when public rule is redefined as the preservation of a cognitive balance, setting fear of the destructive effects of unregulated self-assertion against hope of the possibility of continuous peace through obedience to law.",,,
24,10.1111/j.1540-5907.2006.00206.x,Reconciling Pluralism and Consensus as Political Ideals,"While consensus is often taken to be the ideal way to secure political legitimacy, a more robust pluralism has many defenders too. We attempt to reconcile arguments for pluralism and consensus. Pluralism ought to be accepted and valued at the simple level of values, beliefs, and preferences. Pluralism at this level can nevertheless coexist with normative, epistemic, and/or preference meta-consensus, all of which have qualities that should attract even pluralists. However, close attention must be paid to the content of meta-consensus and the conditions of its production or discovery.",,,
25,10.1111/j.1540-5907.2006.00207.x,"Woman-Thought, Social Capital, and the Generative State: Mary Austin and the Integrative Civic Ideal in Progressive Thought","This essay explicates Mary Austin's theory of citizenship and demonstrates her contribution to the larger literature on social democratic citizenship emerging in the early twentieth century. The primary text considered is her monograph,The Young Woman Citizen (1918). In this piece, Austin reimagines the spatial and gender ordering of the polity to create an integrative and inclusive civic ideal. She employs the concepts of society and mind as a means of blurring the boundaries between the public and private and integrating the polity, while she turns to woman-thought, social capital, and the generative state to secure women's inclusion. Austin's work combines a unique form of the gender-difference argument for suffrage with progressive political philosophies in an effort to construct a model of the polity in which women share sovereignty with men, socially, culturally, and institutionally.",,,
26,10.1111/j.1540-5907.2006.00208.x,"Tocqueville, Jansenism, and the Psychology of Freedom","In American political discourse, freedom is often spoken of in terms of its inherent rationality or divine origins and is conceptualized as nothing more than a set of concrete institutions coupled with individual rights. By way ofTocqueville'sDemocracy in America,I will attempt to broaden our political vocabulary by constructing a psychology of freedom. According to Tocqueville, the American consciousness is largely a product of two conflicting tendencies: Cartesian rationality and Pascalian existential angst. Out of the tensions created by the interplay of these two elements Tocqueville demonstrates that the motivations to sustain freedom, as well as the institutions and practices crucial for the maintenance of it, result from a complex psychological mixture of self-interest, vanity, and a desire for solitude.",,,
27,10.1111/j.1540-5907.2006.00209.x,A Rawlsian Argument Against the Duty of Civility,"In this article, I show that the assumptions underpinning John Rawls's so-called “duty of civility” ought to lead one not to affirm the duty but to reject it. I will begin by setting out in its essentials the content and rationale of the “duty of civility,” which lies at the heart of Rawls's ideal of public reason. Secondly, I will argue that the very premises allegedly underpinning the duty of civility—namely, the values of reciprocity and political autonomy, and the burdens of judgment—in fact rule it out. Thirdly, I will suggest that if my argument against the duty of civility is correct, then one recent attempt to salvage political liberalism and reasonableness from the charge of incoherence fails. Finally, I draw some challenging lessons from our discussion for political liberalism and the liberal tradition as a whole.",,,
28,10.1111/j.1540-5907.2006.00210.x,Locke on the Moral Basis of International Relations,"This article aims to focus analysis of Locke's theory of international relations away from the familiar discourse of sovereignty and natural law and toward a different discourse involving self-government and international society. It argues that Locke's conception of international society balanced interrelated, overlapping, and even competing claims about sovereignty and natural law in a normative framework in which the right of self-government replaced the principle of sovereignty as the moral basis of international relations. Thus, for Locke the norms deduced from the law of nature govern the international state of nature even as independent societies remain the primary executors of the law of nature in international society. The article concludes by considering how Locke's reflections on international relations may contribute to our understanding of contemporary debates about sovereignty, the use of force, and the ethics of intervention.",,,
29,10.1111/j.1540-5907.2006.00211.x,Value Choices and American Public Opinion,"Individual preferences among core values are widely believed to be an important determinant of political attitudes. However, several theoretical perspectives suggest that people experience difficulties making choices among values. This article uses data from the 1994 Multi-Investigator Study to test for hierarchical structure in citizens' value preferences. The empirical results show that most people make transitive choices among values and that their value preferences have an impact on subsequent issue attitudes. To the extent that citizens exhibit intransitive value choices and/or apparent difficulties in the “translation process” from value preferences to issue attitudes, it is due more to low levels of political sophistication than to the existence of value conflict.",,,
30,10.1111/j.1540-5907.2006.00212.x,Dialogue in American Political Campaigns? An Examination of Issue Convergence in Candidate Television Advertising,"The theory of issue ownership holds that competing candidates should avoid discussing many of the same issues during a campaign. In contrast, theories of democracy suggest that competitive elections are the mechanism by which the public can hold politicians accountable. To determine the extent to which each theory depicts current campaigns, we develop a new measure of “issue convergence” and test whether or not issue convergence increases as the competitiveness of the race increases. Using new data based upon television advertising aired in U.S. Senate campaigns from 1998 through 2002, we find that issue engagement or dialogue occurs more frequently than indicated by previous research. We also find that issue engagement increases with the competitiveness of the race but that issue engagement decreases as the gap in financial resources between candidates increases.",,,
31,10.1111/j.1540-5907.2006.00213.x,The Electoral Relevance of Political Talk: Examining Disagreement and Expertise Effects in Social Networks on Political Participation,"Although people with larger, more politicized social networks are more likely to participate in elections, we know very little about what drives this relationship. I argue that the electoral relevance of political talk depends heavily on the political expertise imbedded in discussion networks. Using data gathered during the 1996 presidential election, I demonstrate that the level of political sophistication in a person's social network exerts a positive influence on participation. Importantly, this effect is greater than the impact of political preferences in the network, the factor that is implicitly considered to be the main link between networks and involvement. This evidence makes two contributions to research on networks and participation. First, it provides support for a theoretical model that better accounts for research on the relationship between political talk, political disagreement, and involvement. Second, it changes the normative implications associated with political talk by suggesting that networks can encourage both higher levels of involvement and increased consideration of differing viewpoints.",,,
32,10.1111/j.1540-5907.2006.00214.x,Motivated Skepticism in the Evaluation of Political Beliefs,"We propose a model of motivated skepticism that helps explain when and why citizens are biased-information processors. Two experimental studies explore how citizens evaluate arguments about affirmative action and gun control, finding strong evidence of a prior attitude effect such that attitudinally congruent arguments are evaluated as stronger than attitudinally incongruent arguments. When reading pro and con arguments, participants (Ps) counterargue the contrary arguments and uncritically accept supporting arguments, evidence of a disconfirmation bias. We also find a confirmation bias—the seeking out of confirmatory evidence—when Ps are free to self-select the source of the arguments they read. Both the confirmation and disconfirmation biases lead to attitude polarization—the strengthening of t2 over t1 attitudes—especially among those with the strongest priors and highest levels of political sophistication. We conclude with a discussion of the normative implications of these findings for rational behavior in a democracy.",,,
33,10.1111/j.1540-5907.2006.00215.x,"Political Appointments, Civil Service Systems, and Bureaucratic Competence: Organizational Balancing and Executive Branch Revenue Forecasts in the American States","Scholarship on executive politics provides conflicting views about whether staffing administrative agencies through politicized or (politically) autonomous means is the best method for maximizing bureaucratic competence. We offer a theoretical account which maintains that obtaining a proper balance between both types of personnel systems across the supervisory and subordinate levels of an organization will best foster bureaucratic competence. We evaluate our organizational balancing thesis using data on executive branch general revenue fund forecasts in the American states from 1987 to 2002. States with a combination of politically appointed agency executives and merit-selected subordinates generally provide more accurate revenue forecasts than states that possess uniformly politicized personnel selection systems. Conversely, states with a combination of department head–appointed executives and subordinates chosen from an at-will system (i.e., nonmerit) produce more accurate forecasts than states with uniformly autonomous personnel selection systems. Our statistical findings underscore the positive consequences associated with balancing politicized and autonomous means of selecting personnel within hierarchies of political organizations.",,,
34,10.1111/j.1540-5907.2006.00216.x,Is Spending More Potent For or Against a Proposition? Evidence from Ballot Measures,"The recent academic literature suggests that pressure from special interest groups has little or no influence on whether initiatives and referendums are passed or defeated. Further, there is a consensus that, to the degree that groups' campaigning is important for explaining outcomes, groups opposing the initiative and favoring the status quo have an advantage over groups that support change. These studies have not considered that interest groups campaign strategically and therefore that campaigning is endogenous in ballot measure elections. This study examines the effect of campaigning on ballot proposition elections and develops a research design that accounts for strategic and endogenous campaign advertising. The research design uses a two-way fixed-effects model to estimate the effect of interest group pressure on ballot measure outcomes. The data are based on television advertising for or against California ballot measures from 2000 to 2004. The results show that supporting and opposing interest groups' campaigning has a quantitatively important and statistically significant influence on ballot measure outcomes. The campaigning of supporting interest groups is at least as productive as that of opposing interest groups.",,,
35,10.1111/j.1540-5907.2006.00217.x,The Consequences of Collective Action: An Incomplete-Contracts Approach,"Public policy may be determined as much by what cannot be agreed to by politicians and organized interests as by what can. Focusing on the inability of organized groups to credibly promise that their members will fully report revenues to tax authorities, I develop an incomplete-contracts lobbying model that shows that the provision of collective goods may be influenced by the anticipated tax compliance of economic sectors as well as by the organization of interests. Data from a survey of firms in Eastern Europe and the former Soviet Union are broadly supportive of the theory: the ability of firms to hide revenues from tax authorities rivals conventional collective-action variables in explaining variation in collective-goods provision, but only in that part of the postcommunist world where differences in revenue hiding across sectors are especially large.",,,
36,10.1111/j.1540-5907.2006.00218.x,Bottom-Up Federalism: The Diffusion of Antismoking Policies from U.S. Cities to States,"Studies of policy diffusion often focus on the horizontal spread of enactments from one state to another, paying little or no attention to the effects of local laws on state-level adoptions. For example, scholars have not tested whether local policy adoptions make state action more likely (through a snowball effect) or less likely (through a pressure valve effect). This study conducts the first comprehensive analysis of vertical policy diffusion from city governments to state governments, while simultaneously examining the influence of state-to-state and national-to-state diffusion. Focusing on three different types of antismoking laws, we find evidence that policies do bubble up from city governments to state governments. State politics are crucial to this relationship, however, as local-to-state diffusion is contingent on the level of legislative professionalism and the strength of health advocates in the state.",,,
37,10.1111/j.1540-5907.2006.00219.x,Structure and Opportunity: Committee Jurisdiction and Issue Attention in Congress,"This article explores how the congressional committee system shapes the dynamics of issue attention. Consisting of what is referred to as a congressional opportunity structure, it describes how committee jurisdictions provide an important institutional context for the attention paid to new issues in congressional hearings. This is illustrated through an examination of congressional attention to biotechnology over a 30-year period. This article finds that committees with broader jurisdictions were more active in biotechnology than committees with a narrow policy remit. However, these institutional effects varied widely, even within a single policy domain. This variation suggests that issue attention depends on the degree of fit between issue characteristics and the congressional opportunity structure. More broadly, the findings here illustrate the virtues of public policy research in studies of Congress.",,,
38,10.1111/j.1540-5907.2006.00220.x,Is Democracy Good for the Poor?,"Many scholars claim that democracy improves the welfare of the poor. This article uses data on infant and child mortality to challenge this claim. Cross-national studies tend to exclude from their samples nondemocratic states that have performed well; this leads to the mistaken inference that nondemocracies have worse records than democracies. Once these and other flaws are corrected, democracy has little or no effect on infant and child mortality rates. Democracies spend more money on education and health than nondemocracies, but these benefits seem to accrue to middle- and upper-income groups.",,,
39,10.1111/j.1540-5907.2006.00221.x,Veto Players and Civil War Duration,"Civil wars show a remarkable variation in how long they last. Some end within days; others continue for decades. What explains the extreme intractability of some wars while others are resolved quickly? This article argues that conflicts with multiple actors who must approve a settlement (veto players) are longer because there are fewer acceptable agreements, information asymmetries are more acute, and shifting alliances and incentives to hold out make negotiation more difficult. This veto player approach to explaining variation in civil war duration is tested using a new dataset containing monthly data on all parties to each civil war begun since World War II. The statistical analysis shows a strong correlation between the number of veto players and the duration of civil war.",,,
40,10.1111/j.1540-5907.2006.00222.x,"Institutional Inconsistency and Political Instability: Polity Duration, 1800–2000","This article examines how political institutional structures affect political instability. It classifies polities as autocracies or democracies based on three institutional dimensions: election of the executive, constraints on executive decision-making authority, and extent of political participation. It hypothesizes that strongly autocratic and democratic regimes will exhibit the greatest stability resulting from self-enforcing equilibria, whereby the maintenance of a polity's institutional structure is in the interest of political elites, whether through autocratic or democratic control. Institutionally inconsistent regimes (those exhibiting a mix of institutional characteristics of both democracy and autocracy) lack these self-enforcing characteristics and are expected to be shorter-lived. Using a log-logistic duration model, polity survival time ratios are estimated. Institutionally consistent polities are significantly more stable than institutionally inconsistent polities. The least stable political systems are dictatorships with high levels of political participation. The most unstable configuration for polities with an elected executive is one where the executive is highly constrained, but the electorate is very small.",,,
41,10.1111/j.1540-5907.2006.00223.x,"Lies, Defection, and the Pattern of International Cooperation","This article characterizes how incentives to lie affect international cooperation and the design of cooperation agreements. I study the optimal structure of cooperation agreements in an environment where the costs of cooperation fluctuate over time. Cooperation is complicated by the fact that the costs of cooperation are private information and participants can benefit from lying about them. When the extent of asymmetries of information between the cooperating governments can be measured in terms of the transparency of the political process, democracies face greater contracting opportunities than authoritarian regimes. However, this article shows that even under asymmetries of information, a limited extent of cooperation can be achieved when the design of cooperation agreements recognizes incentives to lie.",,,
42,10.1111/j.1540-5907.2006.00224.x,Space Matters: Designing Better Electoral Systems for Emerging Democracies,"Although the holding of founding and subsequent elections is essential for any transition from authoritarian to democratic rule, the comparative literature on electoral system design is limited on the experience of “Third Wave” democratizers. This is especially true with respect to the interactive effects between the choice of electoral system and the spatial, i.e., geographic, distribution of the vote—a critical factor that shapes electoral outcomes in all societies, but particularly in emerging democracies because many are plural and agrarian societies. Political elites in these countries have also rarely considered the impact of alternative electoral systems when selecting a system for their country. This article addresses these gaps in the literature and practice by presenting a computational model known as a spatial decision support system or SDSS that both explores these interactive effects and facilitates electoral design. The utility of the model is then demonstrated with data from Kenya and South Africa—two emerging democracies where issues posed by the spatial distribution of the vote have given rise to demands for redesigning or modifying the electoral system.",,,
43,10.1111/j.1540-5907.2006.00225.x,A Conditional Defense of Plurality Rule: Generalizing May's Theorem in a Restricted Informational Environment,"May's theorem famously shows that, in social decisions between two options, simple majority rule uniquely satisfies four appealing conditions. Although this result is often cited in support of majority rule, it has never been extended beyond decisions based on pairwise comparisons of options. We generalize May's theorem to many-option decisions where voters each cast one vote. Surprisingly, plurality rule uniquely satisfies May's conditions. This suggests a conditional defense of plurality rule: If a society's balloting procedure collects only a single vote from each voter, then plurality rule is the uniquely compelling electoral procedure. To illustrate the conditional nature of this claim, we also identify a richer informational environment in which approval voting, not plurality rule, is supported by a May-style argument.",,,
