,JEL,abstract,author,doi,journal,pdf_url,publication_date,title,url,year,index
665,," An income tax provides implicit insurance by dampening the variability of disposable income and consumption. Using an empirical framework derived from the consumption insurance literature and data from the Panel Study of Income Dynamics we examine the effect of federal income tax reforms of the 1980's on automatic stabilization of consumption. Overall, ERTA and TRA86 reduced consumption stability by about 50 percent. Recently increased EITC generosity restored or enhanced consumption insurance. The welfare cost of moving to the post-TRA86 system is sizable for relatively risk-averse households facing large income risk but is much more modest for the typical household. (JEL H21)","Kniesner, Thomas J. Ziliak, James P.",10.1257/00028280260136264,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136264,2002/06,Tax Reform and Automatic Stabilization,https://www.aeaweb.org/articles?id=10.1257/00028280260136264,2002.0,14
666,," This paper evaluates the effects of fiscal policy on investment using a panel of OECD countries. We find a sizeable negative effect of public spending—and in particular of its wage component—on profits and on business investment. This result is consistent with different theoretical models in which government employment creates wage pressure for the private sector. Various types of taxes also have negative effects on profits, but, interestingly, the effects of government spending on investment are larger than those of taxes. Our results can explain the so-called ""non-Keynesian"" (i.e., expansionary) effects of fiscal adjustments. (JEL E22, E62)","Alesina, Alberto Ardagna, Silvia Perotti, Roberto Schiantarelli, Fabio",10.1257/00028280260136255,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136255,2002/06,"Fiscal Policy, Profits, and Investment",https://www.aeaweb.org/articles?id=10.1257/00028280260136255,2002.0,15
667,," This paper describes the design and behavior of an experimental economy with the structure of the Ramsey-Cass-Koopmans model of optimal growth. The experiment includes three different implementations of the model: a decentralized implementation with multiple agents and a market for capital, a treatment where individual subjects are placed in the role of social planners, and a treatment where the social planner consists of five agents making a joint decision. The findings highlight the role of market institutions in facilitating convergence to the optimal steady state. (JEL C91, C92, O40)","Lei, Vivian Noussair, Charles N.",10.1257/00028280260136246,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136246,2002/06,An Experimental Test of an Optimal Growth Model,https://www.aeaweb.org/articles?id=10.1257/00028280260136246,2002.0,16
668,," We decompose labor-productivity growth into components attributable to (1) technological change (shifts in the world production frontier), (2) technological catch-up (movements toward or away from the frontier), and (3) capital accumulation (movement along the frontier). The world production frontier is constructed using deterministic methods requiring no specification of functional form for the technology nor any assumption about market structure or the absence of market imperfections. We analyze the evolution of the cross-country distribution of labor productivity in terms of the tripartite decomposition, finding that technological change is decidedly nonneutral and that both growth and bipolar international divergence are driven primarily by capital deepening. (JEL O30, O47, D24)","Kumar, Subodh Russell, R. Robert",10.1257/00028280260136381,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136381,2002/06,"Technological Change, Technological Catch-up, and Capital Deepening: Relative Contributions to Growth and Convergence",https://www.aeaweb.org/articles?id=10.1257/00028280260136381,2002.0,17
669,," This paper presents dual estimates of total factor productivity growth (TFPG) for East Asian countries. While the dual estimates of TFPG for Korea and Hong Kong are similar to the primal estimates, they exceed the primal estimates by 1 percent a year for Taiwan and by more than 2 percent for Singapore. The reason for the large discrepancy for Singapore is because the return to capital has remained constant, despite the high rate of capital accumulation indicated by Singapore's national accounts. This discrepancy is not explained by financial market controls, capital income taxes, risk premium changes, and public investment subsidies. (JEL O11, O16, O47, O53)","Hsieh, Chang-Tai",10.1257/00028280260136372,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136372,2002/06,What Explains the Industrial Revolution in East Asia? Evidence From the Factor Markets,https://www.aeaweb.org/articles?id=10.1257/00028280260136372,2002.0,18
670,,,"Stiglitz, Joseph E.",10.1257/00028280260136363,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136363,2002/06,Information and the Change in the Paradigm in Economics,https://www.aeaweb.org/articles?id=10.1257/00028280260136363,2002.0,19
671,,,"Spence, Michael",10.1257/00028280260136200,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136200,2002/06,Signaling in Retrospect and the Informational Structure of Markets,https://www.aeaweb.org/articles?id=10.1257/00028280260136200,2002.0,20
672,,,"Akerlof, George A.",10.1257/00028280260136192,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/00028280260136192,2002/06,Behavioral Macroeconomics and Macroeconomic Behavior,https://www.aeaweb.org/articles?id=10.1257/00028280260136192,2002.0,21
673,,,,10.1257/000282802320191967,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191967,2002/05,Search Committee for the Editor of the JEP,https://www.aeaweb.org/articles?id=10.1257/000282802320191967,2002.0,22
674,,,,10.1257/000282802320191958,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191958,2002/05,AEA Exploratory Committee on Economic Statistics,https://www.aeaweb.org/articles?id=10.1257/000282802320191958,2002.0,23
675,,,,10.1257/000282802320191949,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191949,2002/05,Committee on the Status of Women in the Economics Profession,https://www.aeaweb.org/articles?id=10.1257/000282802320191949,2002.0,24
676,,,,10.1257/000282802320191930,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191930,2002/05,Committee on Economic Education,https://www.aeaweb.org/articles?id=10.1257/000282802320191930,2002.0,25
677,,,,10.1257/000282802320191921,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191921,2002/05,"Director, Job Openings for Economists",https://www.aeaweb.org/articles?id=10.1257/000282802320191921,2002.0,26
678,,,,10.1257/000282802320191912,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191912,2002/05,"Editor, Journal of Economic Perspectives",https://www.aeaweb.org/articles?id=10.1257/000282802320191912,2002.0,27
679,,,,10.1257/000282802320191903,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191903,2002/05,"Editor, Journal of Economic Literature",https://www.aeaweb.org/articles?id=10.1257/000282802320191903,2002.0,28
680,,,,10.1257/000282802320191895,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191895,2002/05,"Editor, American Economic Review",https://www.aeaweb.org/articles?id=10.1257/000282802320191895,2002.0,29
681,,,,10.1257/000282802320191886,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191886,2002/05,Finance Committee,https://www.aeaweb.org/articles?id=10.1257/000282802320191886,2002.0,30
682,,,,10.1257/000282802320191877,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191877,2002/05,Treasurer,https://www.aeaweb.org/articles?id=10.1257/000282802320191877,2002.0,31
683,,,,10.1257/000282802320191868,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191868,2002/05,Secretary,https://www.aeaweb.org/articles?id=10.1257/000282802320191868,2002.0,32
684,,,,10.1257/000282802320191859,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191859,2002/05,Minutes of the Executive Committee Meetings,https://www.aeaweb.org/articles?id=10.1257/000282802320191859,2002.0,33
685,,,,10.1257/000282802320191840,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191840,2002/05,Minutes of the Annual Meeting,https://www.aeaweb.org/articles?id=10.1257/000282802320191840,2002.0,34
686,,,,10.1257/000282802320191831,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191831,2002/05,John Bates Clark Award,https://www.aeaweb.org/articles?id=10.1257/000282802320191831,2002.0,35
687,,,,10.1257/000282802320191822,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191822,2002/05,Promoting Economic Literacy: Panel Discussion,https://www.aeaweb.org/articles?id=10.1257/000282802320191822,2002.0,36
688,,,"Hansen, W. Lee Salemi, Michael K. Siegfried, John J.",10.1257/000282802320191813,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191813,2002/05,Use It or Lose It: Teaching Literacy in the Economics Principles Course,https://www.aeaweb.org/articles?id=10.1257/000282802320191813,2002.0,37
689,,,"Frank, Robert H.",10.1257/000282802320191804,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191804,2002/05,The Economic Naturalist: Teaching Introductory Students How to Speak Economics,https://www.aeaweb.org/articles?id=10.1257/000282802320191804,2002.0,38
690,,,"Case, Karl E.",10.1257/000282802320191796,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191796,2002/05,Reconsidering Crucial Concepts in Micro Principles,https://www.aeaweb.org/articles?id=10.1257/000282802320191796,2002.0,39
691,,,"Hamermesh, Daniel S.",10.1257/000282802320191787,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191787,2002/05,Microeconomic Principles Teaching Tricks,https://www.aeaweb.org/articles?id=10.1257/000282802320191787,2002.0,40
692,,,"Brown, Byron W. Liedholm, Carl E.",10.1257/000282802320191778,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191778,2002/05,Can Web Courses Replace the Classroom in Principles of Microeconomics?,https://www.aeaweb.org/articles?id=10.1257/000282802320191778,2002.0,41
693,,,"Williamson, Oliver E.",10.1257/000282802320191769,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191769,2002/05,The Lens of Contract: Private Ordering,https://www.aeaweb.org/articles?id=10.1257/000282802320191769,2002.0,42
694,,,"Tadelis, Steven",10.1257/000282802320191750,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191750,2002/05,"Complexity, Flexibility, and the Make-or-Buy Decision",https://www.aeaweb.org/articles?id=10.1257/000282802320191750,2002.0,43
695,,,"Masten, Scott E.",10.1257/000282802320191741,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191741,2002/05,Modern Evidence on the Firm,https://www.aeaweb.org/articles?id=10.1257/000282802320191741,2002.0,44
696,,,"Poterba, James M. Shoven, John B.",10.1257/000282802320191732,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191732,2002/05,Exchange-Traded Funds: A New Investment Option for Taxable Investors,https://www.aeaweb.org/articles?id=10.1257/000282802320191732,2002.0,45
697,,,"Judd, Kenneth L.",10.1257/000282802320191723,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191723,2002/05,Capital-Income Taxation with Imperfect Competition,https://www.aeaweb.org/articles?id=10.1257/000282802320191723,2002.0,46
698,,,"Auerbach, Alan J. Gordon, Roger H.",10.1257/000282802320191714,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191714,2002/05,Taxation of Financial Services under a VAT,https://www.aeaweb.org/articles?id=10.1257/000282802320191714,2002.0,47
699,,,"Krueger, Dirk Kubler, Felix",10.1257/000282802320191705,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191705,2002/05,Intergenerational Risk-Sharing via Social Security when Financial Markets Are Incomplete,https://www.aeaweb.org/articles?id=10.1257/000282802320191705,2002.0,48
700,,,"Brooks, Robin",10.1257/000282802320191697,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191697,2002/05,Asset-Market Effects of the Baby Boom and Social-Security Reform,https://www.aeaweb.org/articles?id=10.1257/000282802320191697,2002.0,49
701,,,"Boeri, Tito Boersch-Supan, Axel Tabellini, Guido",10.1257/000282802320191688,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191688,2002/05,Pension Reforms and the Opinions of European Citizens,https://www.aeaweb.org/articles?id=10.1257/000282802320191688,2002.0,50
702,,,"Razin, Assaf Sadka, Efraim Swagel, Phillip",10.1257/000282802320191679,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191679,2002/05,The Wage Gap and Public Support for Social Security,https://www.aeaweb.org/articles?id=10.1257/000282802320191679,2002.0,51
703,,,"Grogger, Jeffrey",10.1257/000282802320191660,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191660,2002/05,The Behavioral Effects of Welfare Time Limits,https://www.aeaweb.org/articles?id=10.1257/000282802320191660,2002.0,52
704,,,"Hotz, V. Joseph Mullin, Charles H. Scholz, John Karl",10.1257/000282802320191651,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191651,2002/05,"Welfare, Employment, and Income: Evidence on the Effects of Benefit Reductions from California",https://www.aeaweb.org/articles?id=10.1257/000282802320191651,2002.0,53
705,,,"Meyer, Bruce D.",10.1257/000282802320191642,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191642,2002/05,"Labor Supply at the Extensive and Intensive Margins: The EITC, Welfare, and Hours Worked",https://www.aeaweb.org/articles?id=10.1257/000282802320191642,2002.0,54
706,,,"Burton, Peter Phipps, Shelley Curtis, Lori",10.1257/000282802320191633,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191633,2002/05,All in the Family: A Simultaneous Model of Parenting Style and Child Conduct,https://www.aeaweb.org/articles?id=10.1257/000282802320191633,2002.0,55
707,,,"Bitler, Marianne Zavodny, Madeline",10.1257/000282802320191624,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191624,2002/05,Child Abuse and Abortion Availability,https://www.aeaweb.org/articles?id=10.1257/000282802320191624,2002.0,56
708,,,"Todd, Erin Sullivan, Dennis",10.1257/000282802320191615,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191615,2002/05,Children and Household Income Packages: A Cross-National Analysis,https://www.aeaweb.org/articles?id=10.1257/000282802320191615,2002.0,57
709,,,"Anderson, Deborah J. Binder, Melissa Krause, Kate",10.1257/000282802320191606,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191606,2002/05,The Motherhood Wage Penalty: Which Mothers Pay It and Why?,https://www.aeaweb.org/articles?id=10.1257/000282802320191606,2002.0,58
710,,,"Schultz, T. Paul",10.1257/000282802320191598,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191598,2002/05,Wage Gains Associated with Height as a Form of Health Human Capital,https://www.aeaweb.org/articles?id=10.1257/000282802320191598,2002.0,59
711,,,"Sacerdote, Bruce",10.1257/000282802320191589,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191589,2002/05,The Nature and Nurture of Economic Outcomes,https://www.aeaweb.org/articles?id=10.1257/000282802320191589,2002.0,60
712,,,"Murray, Charles",10.1257/000282802320191570,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191570,2002/05,IQ and Income Inequality in a Sample of Sibling Pairs from Advantaged Family Backgrounds,https://www.aeaweb.org/articles?id=10.1257/000282802320191570,2002.0,61
713,,,"Cohen, Jessica L. Dickens, William T.",10.1257/000282802320191561,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191561,2002/05,A Foundation for Behavioral Economics,https://www.aeaweb.org/articles?id=10.1257/000282802320191561,2002.0,62
714,,,"Straight, Ronald L.",10.1257/000282802320191552,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320191552,2002/05,"Wealth: Asset-Accumulation Differences by Race-SCF Data, 1995 and 1998",https://www.aeaweb.org/articles?id=10.1257/000282802320191552,2002.0,63
715,,,"Nembhard, Jessica Gordon",10.1257/000282802320189483,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189483,2002/05,Cooperatives and Wealth Accumulation: Preliminary Analysis,https://www.aeaweb.org/articles?id=10.1257/000282802320189483,2002.0,64
716,,,"Freeman, Lance Hamilton, Darrick",10.1257/000282802320189474,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189474,2002/05,A Dream Deferred or Realized: The Impact of Public Policy on Fostering Black Homeownership in New York City Throughout the 1990's,https://www.aeaweb.org/articles?id=10.1257/000282802320189474,2002.0,65
717,,,"Henderson, Christopher",10.1257/000282802320189465,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189465,2002/05,Asymmetric Information in Community Banking and Its Relationship to Credit-Market Discrimination,https://www.aeaweb.org/articles?id=10.1257/000282802320189465,2002.0,66
718,,,"Epple, Dennis Romano, Richard Sieg, Holger",10.1257/000282802320189456,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189456,2002/05,On the Demographic Composition of Colleges and Universities in Market Equilibrium,https://www.aeaweb.org/articles?id=10.1257/000282802320189456,2002.0,67
719,,,"Ekeland, Ivar Heckman, James J. Nesheim, Lars",10.1257/000282802320189447,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189447,2002/05,Identifying Hedonic Models,https://www.aeaweb.org/articles?id=10.1257/000282802320189447,2002.0,68
720,,,"Brock, William A. Durlauf, Steven N.",10.1257/000282802320189438,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189438,2002/05,A Multinomial-Choice Model of Neighborhood Effects,https://www.aeaweb.org/articles?id=10.1257/000282802320189438,2002.0,69
721,,,"Keane, Michael P.",10.1257/000282802320189429,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189429,2002/05,"Financial Aid, Borrowing Constraints, and College Attendance: Evidence from Structural Estimates",https://www.aeaweb.org/articles?id=10.1257/000282802320189429,2002.0,70
722,,,"Ichimura, Hidehiko Taber, Christopher",10.1257/000282802320189410,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189410,2002/05,Semiparametric Reduced-Form Estimation of Tuition Subsidies,https://www.aeaweb.org/articles?id=10.1257/000282802320189410,2002.0,71
723,,,"Dynarski, Susan",10.1257/000282802320189401,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189401,2002/05,The Behavioral and Distributional Implications of Aid for College,https://www.aeaweb.org/articles?id=10.1257/000282802320189401,2002.0,72
724,,,"Skinner, Jonathan Zeldes, Stephen P.",10.1257/000282802320189393,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189393,2002/05,The Importance of Bequests and Life-Cycle Saving in Capital Accumulation: A New Answer,https://www.aeaweb.org/articles?id=10.1257/000282802320189393,2002.0,73
725,,,"Laitner, John",10.1257/000282802320189384,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189384,2002/05,Wealth Inequality and Altruistic Bequests,https://www.aeaweb.org/articles?id=10.1257/000282802320189384,2002.0,74
726,,,"Gokhale, Jagadeesh Kotlikoff, Laurence J.",10.1257/000282802320189375,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189375,2002/05,Simulating the Transmission of Wealth Inequality,https://www.aeaweb.org/articles?id=10.1257/000282802320189375,2002.0,75
727,,,"Wolff, Edward N.",10.1257/000282802320189366,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189366,2002/05,"Inheritances and Wealth Inequality, 1989-1998",https://www.aeaweb.org/articles?id=10.1257/000282802320189366,2002.0,76
728,,,"Mookherjee, Dilip Ray, Debraj",10.1257/000282802320189357,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189357,2002/05,Is Equality Stable?,https://www.aeaweb.org/articles?id=10.1257/000282802320189357,2002.0,77
729,,,"Quah, Danny",10.1257/000282802320189348,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189348,2002/05,Spatial Agglomeration Dynamics,https://www.aeaweb.org/articles?id=10.1257/000282802320189348,2002.0,78
730,,,"Matsuyama, Kiminori",10.1257/000282802320189339,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189339,2002/05,Explaining Diversity: Symmetry-Breaking in Complementarity Games,https://www.aeaweb.org/articles?id=10.1257/000282802320189339,2002.0,79
731,,,"Freund, Caroline Weinhold, Diana",10.1257/000282802320189320,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189320,2002/05,The Internet and International Trade in Services,https://www.aeaweb.org/articles?id=10.1257/000282802320189320,2002.0,80
732,,,"Datta, Bipasa Dixon, Huw",10.1257/000282802320189311,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189311,2002/05,"Technological Change, Entry, and Stock-Market Dynamics: An Analysis of Transition in a Monopolistic Industry",https://www.aeaweb.org/articles?id=10.1257/000282802320189311,2002.0,81
733,,,"Mairesse, Jacques Mohnen, Pierre",10.1257/000282802320189302,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189302,2002/05,Accounting for Innovation and Measuring Innovativeness: An Illustrative Framework and an Application,https://www.aeaweb.org/articles?id=10.1257/000282802320189302,2002.0,82
734,,,"Lerner, Josh",10.1257/000282802320189294,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189294,2002/05,150 Years of Patent Protection,https://www.aeaweb.org/articles?id=10.1257/000282802320189294,2002.0,83
735,,,"Hui, Kai-Lung Png I. P. L.",10.1257/000282802320189285,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189285,2002/05,On the Supply of Creative Work: Evidence from the Movies,https://www.aeaweb.org/articles?id=10.1257/000282802320189285,2002.0,84
736,,,"Romer, Paul",10.1257/000282802320189276,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189276,2002/05,When Should We Use Intellectual Property Rights?,https://www.aeaweb.org/articles?id=10.1257/000282802320189276,2002.0,85
737,,,"Boldrin, Michele Levine, David",10.1257/000282802320189267,American Economic Review,https://pubs.aeaweb.org/doi/pdfplus/10.1257/000282802320189267,2002/05,The Case Against Intellectual Property,https://www.aeaweb.org/articles?id=10.1257/000282802320189267,2002.0,86
