"","doi","author","title","citation","checked"
"38","10.1257/000282802320191813","Hansen, W. Lee Salemi, Michael K. Siegfried, John J.","Use It or Lose It: Teaching Literacy in the Economics Principles Course","23",1
"39","10.1257/000282802320191804","Frank, Robert H.","The Economic Naturalist: Teaching Introductory Students How to Speak Economics","4",1
"40","10.1257/000282802320191796","Case, Karl E.","Reconsidering Crucial Concepts in Micro Principles","2",1
"41","10.1257/000282802320191787","Hamermesh, Daniel S.","Microeconomic Principles Teaching Tricks","0",1
"42","10.1257/000282802320191778","Brown, Byron W. Liedholm, Carl E.","Can Web Courses Replace the Classroom in Principles of Microeconomics?","74",1
"43","10.1257/000282802320191769","Williamson, Oliver E.","The Lens of Contract: Private Ordering","50",1
"44","10.1257/000282802320191750","Tadelis, Steven","Complexity, Flexibility, and the Make-or-Buy Decision","54",1
"45","10.1257/000282802320191741","Masten, Scott E.","Modern Evidence on the Firm","12",1
"46","10.1257/000282802320191732","Poterba, James M. Shoven, John B.","Exchange-Traded Funds: A New Investment Option for Taxable Investors","21",1
"47","10.1257/000282802320191723","Judd, Kenneth L.","Capital-Income Taxation with Imperfect Competition","25",1
"48","10.1257/000282802320191714","Auerbach, Alan J. Gordon, Roger H.","Taxation of Financial Services under a VAT","16",1
"49","10.1257/000282802320191705","Krueger, Dirk Kubler, Felix","Intergenerational Risk-Sharing via Social Security when Financial Markets Are Incomplete","9",1
"50","10.1257/000282802320191697","Brooks, Robin","Asset-Market Effects of the Baby Boom and Social-Security Reform","29",1
"51","10.1257/000282802320191688","Boeri, Tito Boersch-Supan, Axel Tabellini, Guido","Pension Reforms and the Opinions of European Citizens","48",1
"52","10.1257/000282802320191679","Razin, Assaf Sadka, Efraim Swagel, Phillip","The Wage Gap and Public Support for Social Security","2",1
"53","10.1257/000282802320191660","Grogger, Jeffrey","The Behavioral Effects of Welfare Time Limits","19",1
"54","10.1257/000282802320191651","Hotz, V. Joseph Mullin, Charles H. Scholz, John Karl","Welfare, Employment, and Income: Evidence on the Effects of Benefit Reductions from California","3",1
"55","10.1257/000282802320191642","Meyer, Bruce D.","Labor Supply at the Extensive and Intensive Margins: The EITC, Welfare, and Hours Worked","34",1
"56","10.1257/000282802320191633","Burton, Peter Phipps, Shelley Curtis, Lori","All in the Family: A Simultaneous Model of Parenting Style and Child Conduct","10",1
"57","10.1257/000282802320191624","Bitler, Marianne Zavodny, Madeline","Child Abuse and Abortion Availability","9",1
"58","10.1257/000282802320191615","Todd, Erin Sullivan, Dennis","Children and Household Income Packages: A Cross-National Analysis","0",1
"59","10.1257/000282802320191606","Anderson, Deborah J. Binder, Melissa Krause, Kate","The Motherhood Wage Penalty: Which Mothers Pay It and Why?","63",1
"60","10.1257/000282802320191598","Schultz, T. Paul","Wage Gains Associated with Height as a Form of Health Human Capital","66",1
"61","10.1257/000282802320191589","Sacerdote, Bruce","The Nature and Nurture of Economic Outcomes","64",1
"62","10.1257/000282802320191570","Murray, Charles","IQ and Income Inequality in a Sample of Sibling Pairs from Advantaged Family Backgrounds","20",1
"63","10.1257/000282802320191561","Cohen, Jessica L. Dickens, William T.","A Foundation for Behavioral Economics","9",1
"64","10.1257/000282802320191552","Straight, Ronald L.","Wealth: Asset-Accumulation Differences by Race-SCF Data, 1995 and 1998","7",1
"65","10.1257/000282802320189483","Nembhard, Jessica Gordon","Cooperatives and Wealth Accumulation: Preliminary Analysis","4",1
"66","10.1257/000282802320189474","Freeman, Lance Hamilton, Darrick","A Dream Deferred or Realized: The Impact of Public Policy on Fostering Black Homeownership in New York City Throughout the 1990's","3",1
"67","10.1257/000282802320189465","Henderson, Christopher","Asymmetric Information in Community Banking and Its Relationship to Credit-Market Discrimination","0",1
"68","10.1257/000282802320189456","Epple, Dennis Romano, Richard Sieg, Holger","On the Demographic Composition of Colleges and Universities in Market Equilibrium","10",1
"69","10.1257/000282802320189447","Ekeland, Ivar Heckman, James J. Nesheim, Lars","Identifying Hedonic Models","55",1
"70","10.1257/000282802320189438","Brock, William A. Durlauf, Steven N.","A Multinomial-Choice Model of Neighborhood Effects","54",1
"71","10.1257/000282802320189429","Keane, Michael P.","Financial Aid, Borrowing Constraints, and College Attendance: Evidence from Structural Estimates","15",1
"72","10.1257/000282802320189410","Ichimura, Hidehiko Taber, Christopher","Semiparametric Reduced-Form Estimation of Tuition Subsidies","13",1
"73","10.1257/000282802320189401","Dynarski, Susan","The Behavioral and Distributional Implications of Aid for College","80",1
"74","10.1257/000282802320189393","Skinner, Jonathan Zeldes, Stephen P.","The Importance of Bequests and Life-Cycle Saving in Capital Accumulation: A New Answer","43",1
"75","10.1257/000282802320189384","Laitner, John","Wealth Inequality and Altruistic Bequests","13",1
"76","10.1257/000282802320189375","Gokhale, Jagadeesh Kotlikoff, Laurence J.","Simulating the Transmission of Wealth Inequality","4",1
"77","10.1257/000282802320189366","Wolff, Edward N.","Inheritances and Wealth Inequality, 1989-1998","20",1
"78","10.1257/000282802320189357","Mookherjee, Dilip Ray, Debraj","Is Equality Stable?","19",1
"79","10.1257/000282802320189348","Quah, Danny","Spatial Agglomeration Dynamics","19",1
"80","10.1257/000282802320189339","Matsuyama, Kiminori","Explaining Diversity: Symmetry-Breaking in Complementarity Games","14",1
"81","10.1257/000282802320189320","Freund, Caroline Weinhold, Diana","The Internet and International Trade in Services","64",1
"82","10.1257/000282802320189311","Datta, Bipasa Dixon, Huw","Technological Change, Entry, and Stock-Market Dynamics: An Analysis of Transition in a Monopolistic Industry","10",1
"83","10.1257/000282802320189302","Mairesse, Jacques Mohnen, Pierre","Accounting for Innovation and Measuring Innovativeness: An Illustrative Framework and an Application","103",1
"84","10.1257/000282802320189294","Lerner, Josh","150 Years of Patent Protection","94",1
"85","10.1257/000282802320189285","Hui, Kai-Lung Png I. P. L.","On the Supply of Creative Work: Evidence from the Movies","15",1
"86","10.1257/000282802320189276","Romer, Paul","When Should We Use Intellectual Property Rights?","25",1
"87","10.1257/000282802320189267","Boldrin, Michele Levine, David","The Case Against Intellectual Property","96",1
"88","10.1257/000282802320189258","Klein, Benjamin Lerner, Andres V. Murphy, Kevin M.","The Economics of Copyright ""Fair Use"" in a Networked World","20",1
"89","10.1257/000282802320189249","Jovanovic, Boyan Rousseau, Peter L.","The Q-Theory of Mergers","128",1
"90","10.1257/000282802320189230","Yorukoglu, Mehmet","The Decline of Cities and Inequality","3",1
"91","10.1257/000282802320189221","Agarwal, Rajshree Gort, Michael","Firm and Product Life Cycles and Firm Survival","86",1
"92","10.1257/000282802320189212","Bhagwati, Jagdish Srinivasan T. N.","Trade and Poverty in the Poor Countries","55",1
"93","10.1257/000282802320189203","Panagariya, Arvind","Cost of Protection: Where Do We Stand?","7",1
"94","10.1257/000282802320189195","Davis, Donald R. Weinstein, David E.","The Mystery of the Excess Trade (Balances)","3",1
"95","10.1257/000282802320189186","Irwin, Douglas A.","Interpreting the Tariff-Growth Correlation of the Late 19th Century","26",1
"96","10.1257/000282802320189177","Gollin, Douglas Parente, Stephen Rogerson, Richard","The Role of Agriculture in Development","121",1
"97","10.1257/000282802320189168","Greenwood, Jeremy Seshadri, Ananth","The U.S. Demographic Transition","38",1
"98","10.1257/000282802320189159","Caselli, Francesco Coleman II, Wilbur John","The U.S. Technology Frontier","16",1
"99","10.1257/000282802320189140","Edmond, Chris","Self-Insurance, Social Insurance, and the Optimum Quantity of Money","6",1
"100","10.1257/000282802320189131","Azariadis, Costas Lambertini, Luisa","Excess Asset Returns with Limited Enforcement","1",1
"101","10.1257/000282802320189122","Smith, Bruce D.","Monetary Policy, Banking Crises, and the Friedman Rule","30",1
"102","10.1257/000282802320189113","Romer, Christina D. Romer, David H.","A Rehabilitation of Monetary Policy in the 1950's","38",1
"103","10.1257/000282802320189104","Orphanides, Athanasios","Monetary-Policy Rules and the Great Inflation","80",1
"104","10.1257/000282802320189096","Ball, Laurence Tchaidze, Robert R.","The Fed and the New Economy","11",1
"105","10.1257/000282802320189087","Obstfeld, Maurice","Inflation-Targeting, Exchange-Rate Pass-Through, and Volatility","13",1
"106","10.1257/000282802320189078","Dupor, Bill","The Natural Rate of Q","5",1
"107","10.1257/000282802320189069","Cochrane, John H. Piazzesi, Monika","The Fed and Interest Rates - A High-Frequency Identification","67",1
"108","10.1257/000282802320189050","Erceg, Christopher J.","The Choice of an Inflation Target Range in a Small Open Economy","7",1
"109","10.1257/000282802320189041","Carlstrom, Charles T. Fuerst, Timothy S.","Taylor Rules in a Model that Satisfies the Natural-Rate Hypothesis","3",1
"110","10.1257/000282802320189032","Benhabib, Jess Schmitt-Grohé, Stephanie Uribe, Martín","Chaotic Interest-Rate Rules","15",1
"111","10.1257/000282802320189023","Corbae, Dean Temzelides, Ted Wright, Randall","Matching and Money","7",1
"112","10.1257/000282802320189014","Kiyotaki, Nobuhiro Moore, John","Evil Is the Root of All Money","24",1
"113","10.1257/000282802320189005","Kocherlakota, Narayana R.","Money: What's the Question and Why Should We Care About the Answer?","7",1
"114","10.1257/000282802320188998","Green, Edward J.","Payment Arrangements and Inflation","0",1
"115","10.1257/000282802320188989","Kiyotaki, Nobuhiro Moore, John","Balance-Sheet Contagion","41",1
"116","10.1257/000282802320188970","Holmstrom, Bengt Tirole, Jean","Domestic and International Supply of Liquidity","7",1
"117","10.1257/000282802320188961","Diamond, Douglas W. Rajan, Raghuram G.","Bank Bailouts and Aggregate Liquidity","11",1
"118","10.1257/000282802320188952","Caballero, Ricardo J. Krishnamurthy, Arvind","A Dual Liquidity Model for Emerging Markets","14",1
"119","10.1257/000282802320188943","Cole, Harold L. Ohanian, Lee E.","The U.S. and U.K. Great Depressions Through the Lens of Neoclassical Growth Theory","28",1
"120","10.1257/000282802320188934","Chari V. V. Kehoe, Patrick J. McGrattan, Ellen R.","Accounting for the Great Depression","23",1
"121","10.1257/000282802320188925","Bergoeing, Raphael Kehoe, Patrick J. Kehoe, Timothy J. Soto, Raimundo","Policy-Driven Productivity in Chile and Mexico in the 1980's and 1990's","8",1
"122","10.1257/000282802320188916","Prescott, Edward C.","Prosperity and Depression","65",1
"123","10.1257/aer.92.2.viii","Lucas Jr, Robert E.","Foreword","0",1
"124","10.1257/aer.92.2.vii","Lucas Jr, Robert E.","Editors' Introduction","0",1
"125","10.1257/000282802760015810","Conway, Patrick J.","The Case of the Missing Trade and Other Mysteries: Comment","5",1
"126","10.1257/000282802760015801","Estevadeordal, Antoni Taylor, Alan M.","A Century of Missing Trade?","13",1
"127","10.1257/000282802760015793","Auten, Gerald E. Sieg, Holger Clotfelter, Charles T.","Charitable Giving, Income, and Taxes: An Analysis of Panel Data","84",1
"128","10.1257/000282802760015784","Keen, Michael J. Kotsogiannis, Christos","Does Federalism Lead to Excessively High Taxes?","95",1
"129","10.1257/000282802760015775","Flavin, Marjorie Yamashita, Takashi","Owner-Occupied Housing and the Composition of the Household Portfolio","169",1
"130","10.1257/000282802760015766","Chadwick, Laura Solon, Gary","Intergenerational Income Mobility Among Daughters","77",1
"131","10.1257/000282802760015757","Behrman, Jere R. Rosenzweig, Mark R.","Does Increasing Women's Schooling Raise the Schooling of the Next Generation?","175",1
"132","10.1257/000282802760015748","Gelbach, Jonah B.","Public Schooling for Young Children and Maternal Labor Supply","96",1
"133","10.1257/000282802760015739","Lakdawalla, Darius Philipson, Tomas","The Rise in Old-Age Longevity and the Market for Long-Term Care","23",1
"134","10.1257/000282802760015720","Buchmueller, Thomas Dinardo, John","Did Community Rating Induce an Adverse Selection Death Spiral? Evidence from New York, Pennsylvania, and Connecticut","55",1
"135","10.1257/000282802760015711","Harless, David W. Hoffer, George E.","Do Women Pay More for New Vehicles? Evidence from Transaction Price Data","8",1
"136","10.1257/000282802760015702","McCabe, Mark J.","Journal Pricing and Mergers: A Portfolio Approach","34",1
"137","10.1257/000282802760015694","Biais, Bruno Perotti, Enrico","Machiavellian Privatization","122",1
"138","10.1257/000282802760015685","Jones, Charles I.","Sources of U.S. Economic Growth in a World of Ideas","168",1
"139","10.1257/000282802760015676","Hendricks, Lutz","How Important Is Human Capital for Development? Evidence from Immigrant Earnings","64",1
"140","10.1257/000282802760015667","Veracierto, Marcelo L.","Plant-Level Irreversible Investment and Equilibrium Business Cycles","34",1
"141","10.1257/000282802760015658","Popp, David","Induced Innovation and Energy Prices","289",1
"142","10.1257/000282802760015649","Branstetter, Lee G. Sakakibara, Mariko","When Do Research Consortia Work Well and Why? Evidence from Japanese Panel Data","95",1
"143","10.1257/000282802760015630","Keller, Wolfgang","Geographic Localization of International Technology Diffusion","316",1
"144","10.1257/000282802760015621","Antweiler, Werner Trefler, Daniel","Increasing Returns and All That: A View from Trade","78",1
"145","10.1257/000282802760015612","Knight, Brian","Endogenous Federal Grants and Crowd-out of State Government Spending: Theory and Evidence from the Federal Highway Aid Program","94",1
"146","10.1257/000282802760015603","Gertler, Paul Gruber, Jonathan","Insuring Consumption Against Illness","179",1
"147","10.1257/000282802760015595","Black, Dan Daniel, Kermit Sanders, Seth","The Impact of Economic Conditions on Participation in Disability Programs: Evidence from the Coal Boom and Bust","82",1
"148","10.1257/000282802760015586","Goff, Brian L. McCormick, Robert E. Tollison, Robert D.","Racial Integration as an Innovation: Empirical Evidence from Sports Leagues","35",1
"149","10.1257/000282802760015577","Rosen, Sherwin","Markets and Diversity","30",1
"150","10.1257/aer.91.5.1608","Danziger, Leif","Output and Welfare Effects of Inflation with Costly Price and Quantity Adjustments","8",1
"151","10.1257/aer.91.5.1594","Ellingsen, Tore Soderstrom, Ulf","Monetary Policy and Market Interest Rates","34",1
"152","10.1257/aer.91.5.1580","Ederington, Josh","International Coordination of Trade and Domestic Policies","45",1
"153","10.1257/aer.91.5.1564","Bianchi, Marco Gudmundsson, Bjorn R. Zoega, Gylfi","Iceland's Natural Experiment in Supply-Side Economics","8",1
"154","10.1257/aer.91.5.1556","Bennett, John La Manna, Manfredi M. A.","Reversing the Keynesian Asymmetry","4",1
"155","10.1257/aer.91.5.1546","Deck, Cary A.","A Test of Game-Theoretic and Behavioral Models of Play in Exchange and Insurance Environments","9",1
"156","10.1257/aer.91.5.1539","Harbaugh, William T. Krause, Kate Berry, Timothy R.","GARP for Kids: On the Development of Rational Choice Behavior","72",1
"157","10.1257/aer.91.5.1521","Walker, Mark Wooders, John","Minimax Play at Wimbledon","113",1
"158","10.1257/aer.91.5.1508","Hung, Angela A. Plott, Charles R.","Information Cascades: Replication and an Extension to Majority Rule and Conformity-Rewarding Institutions","66",1
"159","10.1257/aer.91.5.1498","List, John A.","Do Explicit Warnings Eliminate the Hypothetical Bias in Elicitation Procedures? Evidence from Field Auctions for Sportscards","174",1
"160","10.1257/aer.91.5.1478","Li, Hao Rosen, Sherwin Suen, Wing","Conflicts and Common Interests in Committees","53",1
"161","10.1257/aer.91.5.1454","Duranton, Gilles Puga, Diego","Nursery Cities: Urban Diversity, Process Innovation, and the Life Cycle of Products","319",1
"162","10.1257/aer.91.5.1423","Davis, Donald R. Weinstein, David E.","An Account of Global Factor Trade","127",1
"163","10.1257/aer.91.5.1402","Goeree, Jacob K. Holt, Charles A.","Ten Little Treasures of Game Theory and Ten Intuitive Contradictions","142",1
"164","10.1257/aer.91.5.1369","Acemoglu, Daron Johnson, Simon Robinson, James A.","The Colonial Origins of Comparative Development: An Empirical Investigation","2",1
"165","10.1257/aer.91.5.1350","Thornton, Rebecca Achee Thompson, Peter","Learning from Experience and Learning from Others: An Exploration of Learning and Spillovers in Wartime Shipbuilding","62",1
"166","10.1257/aer.91.5.1329","Banerjee, Ajeyo Eckard, E. Woodrow","Why Regulate Insider Trading? Evidence from the First Great Merger Wave (1897-1903)","20",1
"167","10.1257/aer.91.5.1311","Parlour, Christine A. Rajan, Uday","Competition in Loan Contracts","32",1
"168","10.1257/aer.91.5.1286","Cooley, Thomas F. Quadrini, Vincenzo","Financial Markets and Firm Dynamics","147",1
"169","10.1257/aer.91.5.1263","Gomes, Joao F.","Financing Investment","175",1
"170","10.1257/aer.91.5.1239","Fehr, Ernst Tyran, Jean-Robert","Does Money Illusion Matter?","89",1
"171","10.1257/aer.91.5.1221","Canzoneri, Matthew B. Cumby, Robert E. Diba, Behzad T.","Is the Price Level Determined by the Needs of Fiscal Solvency?","64",1
"172","10.1257/aer.91.5.1203","Hobijn, Bart Jovanovic, Boyan","The Information-Technology Revolution and the Stock Market: Evidence","72",1
"173","10.1257/aer.91.5.1185","Hall, Robert E.","The Stock Market and Capital Accumulation","88",1
"174","10.1257/aer.91.5.i","","Front Matter","0",1
"175","10.1257/aer.91.4.1170","Bajeux-Besnainou, Isabelle Jordan, James V. Portait, Roland","An Asset Allocation Puzzle: Comment","17",1
"176","10.1257/aer.91.4.1168","Bernard, Andrew B. Jones, Charles I.","Comparing Apples to Oranges: Productivity Convergence and Measurement across Industries and Countries: Reply","13",1
"177","10.1257/aer.91.4.1160","Sorensen, Anders","Comparing Apples to Oranges: Productivity Convergence and Measurement across Industries and Countries: Comment","23",1
"178","10.1257/aer.91.4.1149","Gaudet, Gerard Moreaux, Michel Salant, Stephen W.","Intertemporal Depletion of Resource Sites by Spatially Distributed Users","30",1
"179","10.1257/aer.91.4.1135","Cuddington, John T. Moss, Diana L.","Technological Change, Depletion, and the U.S. Petroleum Industry","18",1
"180","10.1257/aer.91.4.1126","Smith, V. Kerry Taylor, Donald H. Sloan, Frank A.","Longevity Expectations and Death: Can People Predict Their Own Demise?","75",1
"181","10.1257/aer.91.4.1116","Feldstein, Martin Ranguelova, Elena","Individual Risk in an Investment-Based Social Security System","36",1
"182","10.1257/aer.91.4.1103","Hansen, Nico A. Kessler, Anke S.","The Political Geography of Tax H(e)avens and Tax Hells","21",1
"183","10.1257/aer.91.4.1095","Fisman, Raymond","Estimating the Value of Political Connections","495",1
"184","10.1257/aer.91.4.1084","Piggott, John Whalley, John","VAT Base Broadening, Self Supply, and the Informal Sector","38",1
"185","10.1257/aer.91.4.1072","Asplund, Marcus Friberg, Richard","The Law of One Price in Scandinavian Duty-Free Stores","28",1
"186","10.1257/aer.91.4.1063","Galenson, David W. Weinberg, Bruce A.","Creating Modern Art: The Changing Careers of Painters in France from Impressionism to Cubism","33",1
"187","10.1257/aer.91.4.1055","van den Berg, Gerard J. van Ours, Jan C. Pradhan, Menno P.","The Declining Price Anomaly in Dutch Dutch Rose Auctions","33",1
"188","10.1257/aer.91.4.1031","Athanasoulis, Stefano G. Shiller, Robert J.","World Income Components: Measuring and Exploiting Risk-Sharing Opportunities","18",1
"189","10.1257/aer.91.4.1006","Bils, Mark Klenow, Peter J.","Quantifying Quality Growth","52",1
"190","10.1257/aer.91.4.986","Linde, Jesper","Testing for the Lucas Critique: A Quantitative Investigation","20",1
"191","10.1257/aer.91.4.964","Orphanides, Athanasios","Monetary Policy Rules Based on Real-Time Data","336",1
"192","10.1257/aer.91.4.938","Acemoglu, Daron Robinson, James A.","A Theory of Political Transitions","323",1
"193","10.1257/aer.91.4.924","Fang, Hanming","Social Culture and Economic Performance","18",1
"194","10.1257/aer.91.4.909","Roller, Lars-Hendrik Waverman, Leonard","Telecommunications Infrastructure and Economic Development: A Simultaneous Approach","255",1
"195","10.1257/aer.91.4.877","Antweiler, Werner Copeland, Brian R. Taylor, M. Scott","Is Free Trade Good for the Environment?","446",1
"196","10.1257/aer.91.4.858","Head, Keith Ries, John","Increasing Returns versus National Product Differentiation as an Explanation for the Pattern of U.S.-Canada Trade","168",1
"197","10.1257/aer.91.4.832","Bernheim, B. Douglas Skinner, Jonathan Weinberg, Steven","What Accounts for the Variation in Retirement Wealth among U.S. Households?","119",1
"198","10.1257/aer.91.4.814","Black, Sandra E. Strahan, Philip E.","The Division of Spoils: Rent-Sharing and Discrimination in a Regulated Industry","86",1
"199","10.1257/aer.91.4.795","Duflo, Esther","Schooling and Labor Market Consequences of School Construction in Indonesia: Evidence from an Unusual Policy Experiment","284",1
"200","10.1257/aer.91.4.778","Imbens, Guido W. Rubin, Donald B. Sacerdote, Bruce I.","Estimating the Effect of Unearned Income on Labor Earnings, Savings, and Consumption: Evidence from a Survey of Lottery Players","95",1
"201","10.1257/aer.91.4.755","Hyslop, Dean R.","Rising U.S. Earnings Inequality and Family Labor Supply: The Covariance Structure of Intrafamily Earnings","46",1
"202","10.1257/aer.91.4.i","","Front Matter","0",1
"203","10.1257/aer.91.3.739","Pitchford, Rohan","How Liable Should a Lender Be? The Case of Judgment-Proof Firms and Environmental Risk: Reply","7",1
"204","10.1257/aer.91.3.731","Balkenborg, Dieter","How Liable Should a Lender Be? The Case of Judgment-Proof Firms and Environmental Risk: Comment","22",1
"205","10.1257/aer.91.3.724","Lewis, Tracy R. Sappington, David E. M.","How Liable Should a Lender Be? The Case of Judgment-Proof Firms and Environmental Risk: Comment","12",1
"206","10.1257/aer.91.3.709","Bordignon, Massimo Manasse, Paolo Tabellini, Guido","Optimal Regional Redistribution under Asymmetric Information","42",1
"207","10.1257/aer.91.3.693","Carr, David L. Markusen, James R. Maskus, Keith E.","Estimating the Knowledge-Capital Model of the Multinational Enterprise","333",1
"208","10.1257/aer.91.3.681","Browning, Martin Collado, M. Dolores","The Response of Expenditures to Anticipated Income Changes: Panel Data Estimates","63",1
"209","10.1257/aer.91.3.663","Chirinko, Robert S. Schaller, Huntley","Business Fixed Investment and ""Bubbles"": The Japanese Case","40",1
"210","10.1257/aer.91.3.648","Beaudry, Paul Caglayan, Mustafa Schiantarelli, Fabio","Monetary Instability, the Predictability of Prices, and the Allocation of Investment: An Empirical Investigation Using U.K. Panel Data","23",1
"211","10.1257/aer.91.3.631","Ludvigson, Sydney C. Michaelides, Alexander","Does Buffer-Stock Saving Explain the Smoothness and Excess Sensitivity of Consumption?","22",1
"212","10.1257/aer.91.3.619","Hamilton, Bruce W.","Using Engel's Law to Estimate CPI Bias","35",1
"213","10.1257/aer.91.3.611","Lewbel, Arthur","Demand Systems with and without Errors","40",1
"214","10.1257/aer.91.3.596","Perotti, Roberto","Is a Uniform Social Policy Better? Fiscal Federalism and Factor Mobility","9",1
"215","10.1257/aer.91.3.574","Altig, David Auerbach, Alan J. Koltikoff, Laurence J. Smetters, Kent A. Walliser, Jan","Simulating Fundamental Tax Reform in the United States","116",1
"216","10.1257/aer.91.3.559","Young, H. Peyton Burke, Mary A.","Competition and Custom in Economic Contracts: A Case Study of Illinois Agriculture","60",1
"217","10.1257/aer.91.3.542","Moldovanu, Benny Sela, Aner","The Optimal Allocation of Prizes in Contests","198",1
"218","10.1257/aer.91.3.525","Che, Yeon-Koo Yoo, Seung-Weon","Optimal Incentives for Teams","152",1
"219","10.1257/aer.91.3.509","Schlee, Edward E.","The Value of Information in Efficient Risk-Sharing Arrangements","33",1
"220","10.1257/aer.91.3.475","Conlisk, John","Costly Predation and the Distribution of Competence","6",1
"221","10.1257/aer.91.3.485","Kranton, Rachel E. Minehart, Deborah F.","A Theory of Buyer-Seller Networks","148",1
"222","10.1257/aer.91.3.454","Baye, Michael R. Morgan, John","Information Gatekeepers on the Internet and the Competitiveness of Homogeneous Product Markets","193",1
"223","10.1257/aer.91.3.428","Chipty, Tasneem","Vertical Integration, Market Foreclosure, and Consumer Welfare in the Cable Television Industry","79",1
"224","10.1257/aer.91.3.399","Haile, Philip A.","Auctions with Resale Markets: An Application to U.S. Forest Service Timber Sales","59",1
"225","10.1257/aer.91.3.379","Genesove, David Mullin, Wallace P.","Rules, Communication, and Collusion: Narrative Evidence from the Sugar Institute Case","85",1
"226","10.1257/aer.91.3.351","McFadden, Daniel","Economic Choices","288",1
"227","10.1257/aer.91.3.i","","Front Matter","0",1
"228","10.1257/aer.91.2.508","Taylor, John","Report of the Search Committee for the Editor of the AER",NA,1
"229","10.1257/aer.91.2.502","Allen, Beth","Report of the Committee on the Status of Women in the Economics Profession","3",1
"230","10.1257/aer.91.2.497","Darity Jr., William Conrad, Cecilia A.","Report of the Committee on the Status of Minority Groups in the Economics Profession","0",1
"231","10.1257/aer.91.2.495","Walstad, William B.","Report of the Committee on Economic Education","0",1
"232","10.1257/aer.91.2.492","Siegfried, John J.","Report of the Director: Job Openings for Economists","0",1
"233","10.1257/aer.91.2.489","Krueger, Alan B.","Report of the Editor: Journal of Economic Perspectives","0",1
