,abstract,author,doi,journal,pdf_url,publication_date,title,url,year,index
58,"<p>Most major American industrial business cycles from around 1880 to the First World War were caused by fluctuations in the size of the cotton harvest due to economically exogenous factors such as weather. Wheat and corn harvests did not affect industrial production; nor did the cotton harvest before the late 1870s. The unique effect of the cotton harvest in this period can be explained as an essentially monetary phenomenon, the result of interactions between harvests, international gold flows, and high-powered money demand under America's goldstandard regime of 1879–1914.</p>","Davis, Joseph H. Hanes, Christopher Rhode, Paul W.",10.1162/qjec.2009.124.4.1675,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/124/4/1675/5407327/124-4-1675.pdf,2009/11/01,Harvests and Business Cycles in Nineteenth-Century America,https://academic.oup.com/qje/article/124/4/1675/1917206/Harvests-and-Business-Cycles-in-Nineteenth-Century,2009,10
59,"<p>We use prenatal exposure to Chernobyl fallout in Sweden as a natural experiment inducing variation in cognitive ability. Students born in regions of Sweden with higher fallout performed worse in secondary school, in mathematics in particular. Damage is accentuated within families (i.e., siblings comparison) and among children born to parents with low education. In contrast, we detect no corresponding damage to health outcomes. To the extent that parents responded to the cognitive endowment, we infer that parental investments reinforced the initial Chernobyl damage. From a public health perspective, our findings suggest that cognitive ability is compromised at radiation doses currently considered harmless.</p>","Almond, Douglas Edlund, Lena Palme, Mårten",10.1162/qjec.2009.124.4.1729,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/124/4/1729/5407354/124-4-1729.pdf,2009/11/01,Chernobyl's Subclinical Legacy: Prenatal Exposure to Radioactive Fallout and School Outcomes in Sweden,https://academic.oup.com/qje/article/124/4/1729/1917216/Chernobyl-s-Subclinical-Legacy-Prenatal-Exposure,2009,11
60,"<p>Defaults often have a large influence on consumer decisions. We identify an overlooked but practical alternative to defaults: requiring individuals to make explicit choices for themselves. We study such “active decisions” in the context of 401(k) saving. We find that compelling new hires to make active decisions about 401(k) enrollment raises the initial fraction that enroll by 28 percentage points relative to a standard opt-in enrollment procedure, producing a savings distribution three months after hire that would take thirty months to achieve under standard enrollment. We also present a model of 401(k) enrollment and derive conditions under which the optimal enrollment regime is automatic enrollment (i.e., default enrollment), standard enrollment (i.e., default nonenrollment), or active decisions (i.e., no default and compulsory choice). Active decisions are optimal when consumers have a strong propensity to procrastinate and savings preferences are highly heterogeneous. Financial illiteracy, however, favors default enrollment over active decision enrollment.</p>","Carroll, Gabriel D. Choi, James J. Laibson, David Madrian, Brigitte C. Metrick, Andrew",10.1162/qjec.2009.124.4.1639,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/124/4/1639/5407319/124-4-1639.pdf,2009/11/01,Optimal Defaults and Active Decisions,https://academic.oup.com/qje/article/124/4/1639/1917201/Optimal-Defaults-and-Active-Decisions,2009,12
61,"<p>Compensation, status, and press coverage of managers in the United States follow a highly skewed distribution: a small number of “superstars” enjoy the bulk of the rewards. We evaluate the impact of CEOs achieving superstar status on the performance of their firms, using prestigious business awards to measure shocks to CEO status. We find that award-winning CEOs subsequently underperform, both relative to their prior performance and relative to a matched sample of non-winning CEOs. At the same time, they extract more compensation following the awards, both in absolute amounts and relative to other top executives in their firms. They also spend more time on public and private activities outside their companies, such as assuming board seats or writing books. The incidence of earnings management increases after winning awards. The effects are strongest in firms with weak corporate governance. Our results suggest that the <em>ex post</em> consequences of media-induced superstar status for shareholders are negative.</p>","Malmendier, Ulrike Tate, Geoffrey",10.1162/qjec.2009.124.4.1593,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/124/4/1593/5407308/124-4-1593.pdf,2009/11/01,Superstar CEOs,https://academic.oup.com/qje/article/124/4/1593/1917196/Superstar-CEOs,2009,13
62,"<p>The nineteenth century witnessed dramatic improvements in the legal rights of married women. Given that they took place long before women gained the right to vote, these changes amounted to a voluntary renunciation of power by men. In this paper, we investigate men's incentives for sharing power with women. In our model, women's legal rights set the marital bargaining power of husbands and wives. We show that men face a trade-off between the rights they want for their own wives (namely none) and the rights of other women in the economy. Men prefer other men's wives to have rights because men care about their own daughters and because an expansion of women's rights increases educational investments in children. We show that men may agree to relinquish some of their power once technological change increases the importance of human capital. We corroborate our argument with historical evidence on the expansion of women's rights in England and the United States.</p>","Doepke, Matthias Tertilt, Michèle",10.1162/qjec.2009.124.4.1541,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/124/4/1541/5407296/124-4-1541.pdf,2009/11/01,Women's Liberation: What's in It for Men?,https://academic.oup.com/qje/article/124/4/1541/1917192/Women-s-Liberation-What-s-in-It-for-Men,2009,14
63,"<p>We exploit random assignment of gender quotas for leadership positions on Indian village councils to show that prior exposure to a female leader is associated with electoral gains for women. After ten years of quotas, women are more likely to stand for, and win, elected positions in councils required to have a female chief councilor in the previous two elections. We provide experimental and survey evidence on one channel of influence—changes in voter attitudes. Prior exposure to a female chief councilor improves perceptions of female leader effectiveness and weakens stereotypes about gender roles in the public and domestic spheres.</p>","Beaman, Lori Chattopadhyay, Raghabendra Duflo, Esther Pande, Rohini Topalova, Petia",10.1162/qjec.2009.124.4.1497,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/124/4/1497/5407286/124-4-1497.pdf,2009/11/01,Powerful Women: Does Exposure Reduce Bias?,https://academic.oup.com/qje/article/124/4/1497/1917190/Powerful-Women-Does-Exposure-Reduce-Bias,2009,15
64,"<p>Resource misallocation can lower aggregate total factor productivity (TFP). We use microdata on manufacturing establishments to quantify the potential extent of misallocation in China and India versus the United States. We measure sizable gaps in marginal products of labor and capital across plants within narrowly defined industries in China and India compared with the United States. When capital and labor are hypothetically reallocated to equalize marginal products to the extent observed in the United States, we calculate manufacturing TFP gains of 30%–50% in China and 40%–60%.in India.</p>","Hsieh, Chang-Tai Klenow, Peter J.",10.1162/qjec.2009.124.4.1403,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/124/4/1403/5407260/124-4-1403.pdf,2009/11/01,Misallocation and Manufacturing TFP in China and India,https://academic.oup.com/qje/article/124/4/1403/1917179/Misallocation-and-Manufacturing-TFP-in-China-and,2009,16
65,"<p>We conduct a within-county analysis using detailed ZIP code—level data to document new findings regarding the origins of the biggest financial crisis since the Great Depression. The sharp increase in mortgage defaults in 2007 is significantly amplified in subprime ZIP codes, or ZIP codes with a disproportionately large share of subprime borrowers as of 1996. Prior to the default crisis, these subprime ZIP codes experience an unprecedented relative growth in mortgage credit. The expansion in mortgage credit from 2002 to 2005 to subprime ZIP codes occurs despite sharply declining relative (and in some cases absolute) income growth in these neighborhoods. In fact, 2002 to 2005 is the only period in the past eighteen years in which income and mortgage credit growth are negatively correlated. We show that the expansion in mortgage credit to subprime ZIP codes and its dissociation from income growth is closely correlated with the increase in securitization of subprime mortgages.</p>","Mian, Atif Sufi, Amir",10.1162/qjec.2009.124.4.1449,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/124/4/1449/5407278/124-4-1449.pdf,2009/11/01,The Consequences of Mortgage Credit Expansion: Evidence from the U.S. Mortgage Default Crisis,https://academic.oup.com/qje/article/124/4/1449/1917185/The-Consequences-of-Mortgage-Credit-Expansion,2009,17
66,"<p>How do liquidation values affect financial contract renegotiation? While the “incomplete-contracting” theory of financial contracting predicts that liquidation values determine the allocation of bargaining power between creditors and debtors, there is little empirical evidence on financial contract renegotiations and the role asset values play in such bargaining. This paper attempts to fill this gap. We develop an incomplete-contracting model of financial contract renegotiation and estimate it using data on the airline industry in the United States. We find that airlines successfully renegotiate their lease obligations downward when their financial position is sufficiently poor and when the liquidation value of their fieet is low. Our results show that strategic renegotiation is common in the airline industry. Moreover, the results emphasize the importance of the incomplete contracting perspective to real-world financial contract renegotiation.</p>","Benmelech, Efraim Bergman, Nittai K.",10.1162/qjec.2008.123.4.1635,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/123/4/1635/5446925/123-4-1635.pdf,2008/11/01,Liquidation Values and the Credibility of Financial Contract Renegotiation: Evidence from U.S. Airlines,https://academic.oup.com/qje/article/123/4/1635/1933211/Liquidation-Values-and-the-Credibility-of,2008,18
67,"<p>We examine how incumbents respond to the <em>threat</em> of entry by competitors (as distinct from how they respond to <em>actual</em> entry). We look specifically at passenger airlines, using the evolution of Southwest Airlines' route network to identify particular routes where the probability of future entry rises abruptly. We find that incumbents cut fares significantly when threatened by Southwest's entry. Over half of Southwest's total impact on incumbent fares occurs before Southwest starts flying. These cuts are only on threatened routes, not those out of non-Southwest competing airports. The evidence on whether incumbents are seeking to deter or accommodate entry is mixed.</p>","Goolsbee, Austan Syverson, Chad",10.1162/qjec.2008.123.4.1611,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/123/4/1611/5446913/123-4-1611.pdf,2008/11/01,How Do Incumbents Respond to the Threat of Entry? Evidence from the Major Airlines,https://academic.oup.com/qje/article/123/4/1611/1933206/How-Do-Incumbents-Respond-to-the-Threat-of-Entry,2008,19
68,"<p>This paper uses a natural experiment to test the impact of counterfeiting under weak intellectual property rights. I collect new panel data from Chinese shoe companies from 1993–2004. By exploiting the discontinuity of government enforcement efforts for the footwear sector in 1995 and the differences in authentic companies' relationships with the government, I identify and measure the effects of counterfeit entry on authentic prices, qualities, and other market outcomes. The results show that brands with less government protection differentiate their products through innovation, self-enforcement, vertical integration of downstream retailers, and subtle high-price signals. These strategies push up authentic prices and are effective in reducing counterfeit sales.</p>","Qian, Yi",10.1162/qjec.2008.123.4.1577,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/123/4/1577/11104646/123-4-1577.pdf,2008/11/01,Impacts of Entry by Counterfeiters,https://academic.oup.com/qje/article/123/4/1577/1933192/Impacts-of-Entry-by-Counterfeiters,2008,20
69,"<p>We examine the effect of regionalism on unilateral trade liberalization using industry-level data on applied most-favored nation (MFN) tariffs and bilateral preferences for ten Latin American countries from 1990 to 2001. We find that preferential tariff reduction in a given sector leads to a reduction in the external (MFN) tariff in that sector. External liberalization is greater if preferences are granted to important suppliers. However, these “complementarity effects” of preferential liberalization on external liberalization do not arise in customs unions. Overall, our results suggest that concerns about a negative effect of preferential liberalization on external trade liberalization are unfounded.</p>","Estevadeordal, Antoni Freund, Caroline Ornelas, Emanuel",10.1162/qjec.2008.123.4.1531,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/123/4/1531/5446881/123-4-1531.pdf,2008/11/01,Does Regionalism Affect Trade Liberalization Toward Nonmembers?,https://academic.oup.com/qje/article/123/4/1531/1933189/Does-Regionalism-Affect-Trade-Liberalization,2008,21
70,"<p>Various historical accounts have suggested that the Ottomans' rise helped the Protestant Reformation as well as its offshoots, such as Zwinglianism, Anabaptism, and Calvinism, survive their infancy and mature. Utilizing a comprehensive data set on violent confrontations for the interval between 1401 and 1700 CE, I show that the incidence of military engagements between the Protestant Reformers and the Counter-Reformation forces between the 1520s and 1650s depended negatively on the Ottomans' military activities in Europe. Furthermore, I document that the impact of the Ottomans on Europe went beyond suppressing ecclesiastical conflicts only: at the turn of the sixteenth century, Ottoman conquests lowered the number of all newly initiated conflicts among the Europeans roughly by 25 percent, while they dampened all longer-running feuds by more than 15 percent. The Ottomans' military activities influenced the length of intra-European feuds too, with each Ottoman-European military engagement shortening the duration of intra-European conflicts by more than 50 percent. Thus, while the Protestant Reformation might have benefited from—and perhaps even capitalized on—the Ottoman advances in Europe, the latter seems to have played some role in reducing conflicts within Europe more generally.</p>","Iyigun, Murat",10.1162/qjec.2008.123.4.1465,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/123/4/1465/5446855/123-4-1465.pdf,2008/11/01,Luther and Suleyman,https://academic.oup.com/qje/article/123/4/1465/1933179/Luther-and-Suleyman,2008,22
71,"<p>We establish five facts about prices in the U.S. economy: (1) For consumer prices, the median frequency of nonsale price change is roughly half of what it is including sales (9–12% per month versus 19–20% per month for identical items; 11–13% per month versus 21–22% per month including product substitutions). The median frequency of price change for finished-goods producer prices is comparable to that of consumer prices excluding sales. (2) One-third of nonsale price changes are price decreases. (3) The frequency of price increases covaries strongly with inflation, whereas the frequency of price decreases and the size of price increases and price decreases do not. (4) The frequency of price change is highly seasonal: it is highest in the first quarter and then declines. (5) We find no evidence of upwardsloping hazard functions of price changes for individual products. We show that the first, second, and third facts are consistent with a benchmark menu-cost model, whereas the fourth and fifth facts are not.</p>","Nakamura, Emi Steinsson, Jón",10.1162/qjec.2008.123.4.1415,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/123/4/1415/11104643/123-4-1415.pdf,2008/11/01,Five Facts about Prices: A Reevaluation of Menu Cost Models,https://academic.oup.com/qje/article/123/4/1415/1933176/Five-Facts-about-Prices-A-Reevaluation-of-Menu,2008,23
72,"<p>We examine a natural experiment and a field experiment that provided direct information on school test scores to lower-income families in a public school choice plan. Receiving information significantly increases the fraction of parents choosing higher-performing schools. Parents with high-scoring alternatives nearby were more likely to choose nonguaranteed schools with higher test scores. Using random variation from each experiment, we find that attending a higher-scoring school increases student test scores. The results imply that school choice will most effectively increase academic achievement for disadvantaged students when parents have easy access to test score information and good options from which to choose.</p>","Hastings, Justine S. Weinstein, Jeffrey M.",10.1162/qjec.2008.123.4.1373,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/123/4/1373/5446839/123-4-1373.pdf,2008/11/01,"Information, School Choice, and Academic Achievement: Evidence from Two Experiments",https://academic.oup.com/qje/article/123/4/1373/1933172/Information-School-Choice-and-Academic-Achievement,2008,24
73,"<p>We use randomized grants to generate shocks to capital stock for a set of Sri Lankan microenterprises. We find the average real return to capital in these enterprises is 4.6%–5.3% per year), substantially higher than market interest rates. We then examine the heterogeneity of treatment effects. Returns are found to vary with entrepreneurial ability and with household wealth, but not to vary with measures of risk aversion or uncertainty. Treatment impacts are also significantly larger for enterprises owned by males; indeed, we find no positive return in enterprises owned by females.</p>","de Mel, Suresh McKenzie, David Woodruff, Christopher",10.1162/qjec.2008.123.4.1329,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/123/4/1329/11104640/123-4-1329.pdf,2008/11/01,Returns to Capital in Microenterprises: Evidence from a Field Experiment,https://academic.oup.com/qje/article/123/4/1329/1933166/Returns-to-Capital-in-Microenterprises-Evidence,2008,25
74,"<p>Using a monthly data set on the foreign equity and bond portfolios of U.S. investors and the U.S. equity and bond portfolios of foreign investors, we find that the returns differential for portfolio securities is far smaller than previously reported. Examining all U.S. claims and liabilities, we find that previous estimates of large differentials are biased upward. The bias owes to computing implied returns from an internally inconsistent data set of revised data; original data produce a much smaller differential. We also attempt to reconcile our findings with observed patterns of cumulated current account deficits, the net international investment position, and the net income balance. Overall, we find no evidence that the United States can count on earning substantially more on its claims than it pays on its liabilities.</p>","Curcuru, Stephanie E. Dvorak, Tomas Warnock, Francis E.",10.1162/qjec.2008.123.4.1495,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/123/4/1495/5446867/123-4-1495.pdf,2008/11/01,Cross-Border Returns Differentials,https://academic.oup.com/qje/article/123/4/1495/1933185/Cross-Border-Returns-Differentials,2008,26
82,"<p>Many social scientists presume that the quality of the neighborhood to which children are exposed affects a variety of long-run social outcomes. I examine the effect on long-run labor market outcomes of adults who were assigned, when young, to substantially different public housing projects in Toronto. Administrative data are matched to public housing addresses to track children from the program to when they are more than 30 years old. The main finding is that, while living conditions and exposure to crime differ substantially across projects, neighborhood quality plays little role in determining a youth's eventual earnings, unemployment likelihood, and welfare participation. Living in contrasting housing projects cannot explain large variances in labor market outcomes but family differences, as measured by sibling outcome correlations, account for up to 30 percent of the total variance in the data.</p>","Oreopoulos, Philip",10.1162/003355303322552865,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/118/4/1533/5427355/118-4-1533.pdf,2003/11/01,The Long-Run Consequences of Living in a Poor Neighborhood,https://academic.oup.com/qje/article/118/4/1533/1925122/The-Long-Run-Consequences-of-Living-in-a-Poor,2003,27
83,"<p>We examine the effect of maternal education on birth outcomes using Vital Statistics Natality data for 1970 to 1999. We also assess the importance of four channels through which maternal education may improve birth outcomes: use of prenatal care, smoking, marriage, and fertility. In an effort to account for the endogeneity of educational attainment, we use data about the availability of colleges in the woman's county in her seventeenth year as an instrument for maternal education. We find that higher maternal education improves infant health, as measured by birth weight and gestational age. It also increases the probability that a new mother is married, reduces parity, increases use of prenatal care, and reduces smoking, suggesting that these may be important pathways for the ultimate effect on health. Our results add to the growing body of literature which suggests that estimates of the returns to education which focus only on increases in wages understate the total return.</p>","Currie, Janet Moretti, Enrico",10.1162/003355303322552856,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/118/4/1495/5427341/118-4-1495.pdf,2003/11/01,Mother's Education and the Intergenerational Transmission of Human Capital: Evidence from College Openings,https://academic.oup.com/qje/article/118/4/1495/1925120/Mother-s-Education-and-the-Intergenerational,2003,28
84,"<p>This paper studies the effects of discretionary fiscal policy on output volatility and economic growth. Using data for 91 countries, we isolate three empirical regularities: (1) governments that use fiscal policy aggressively induce significant macroeconomic instability; (2) the volatility of output caused by discretionary fiscal policy lowers economic growth by more than 0.8 percentage points for every percentage point increase in volatility; (3) prudent use of fiscal policy is explained to a large extent by the presence of political constraints and other political and institutional variables. The evidence in the paper supports arguments for constraining discretion by imposing institutional restrictions on governments as a way to reduce output volatility and increase the rate of economic growth.</p>","Fatás, Antonio Mihov, Ilian",10.1162/003355303322552838,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/118/4/1419/5427335/118-4-1419.pdf,2003/11/01,The Case for Restricting Fiscal Policy Discretion,https://academic.oup.com/qje/article/118/4/1419/1925114/The-Case-for-Restricting-Fiscal-Policy-Discretion,2003,29
85,"<p>Roughly one-third of world trade is intrafirm trade. This paper starts by unveiling two systematic patterns in the volume of intrafirm trade. In a panel of industries, the share of intrafirm imports in total U. S. imports is significantly higher, the higher the capital intensity of the exporting industry. In a cross section of countries the share of intrafirm imports in total U. S. imports is significantly higher, the higher the capital-labor ratio of the exporting country. I then show that these patterns can be rationalized in a theoretical framework that combines a Grossman-Hart-Moore view of the firm with a Helpman-Krugman view of international trade. In particular, I develop an incomplete-contracting, property-rights model of the boundaries of the firm, which I then incorporate into a standard trade model with imperfect competition and product differentiation. The model pins down the boundaries of multinational firms as well as the international location of production, and it is shown to predict the patterns of intrafirm trade identified above. Econometric evidence reveals that the model is consistent with other qualitative and quantitative features of the data.</p>","Antràs, Pol",10.1162/003355303322552829,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/118/4/1375/5427325/118-4-1375.pdf,2003/11/01,"Firms, Contracts, and Trade Structure",https://academic.oup.com/qje/article/118/4/1375/1925111/Firms-Contracts-and-Trade-Structure,2003,30
